,eta_d,c_hat,c_c,eta_c,tau_SD,c_d,E,lc,dt
502,0.5,1.0,35.0,0.25,10.0,490.0,0.683,0.324,147.525
488,0.25,1.0,35.0,0.95,10.0,490.0,0.59,0.513,118.151
871,0.25,1.0,700.0,2.0,30.0,700.0,0.0,0.0,inf
486,0.25,1.0,35.0,0.5,30.0,490.0,0.459,0.308,142.373
34,0.5,1.0,35.0,0.5,30.0,35.0,3.759,1.584,73.049
890,0.95,1.0,700.0,0.5,10.0,700.0,0.301,0.164,60.275
504,0.5,1.0,35.0,0.25,30.0,490.0,1.261,0.512,121.214
868,0.25,1.0,700.0,2.0,10.0,700.0,0.0,0.0,inf
62,0.95,1.0,35.0,0.25,10.0,35.0,2.693,1.191,45.133
484,0.25,1.0,35.0,0.5,10.0,490.0,0.209,0.158,132.382
132,0.95,1.0,350.0,0.25,10.0,35.0,0.519,0.279,25.281
66,0.95,1.0,35.0,0.25,30.0,35.0,4.999,1.506,83.43
570,0.5,1.0,350.0,0.5,10.0,490.0,0.005,0.003,88.019
840,0.5,1.0,490.0,2.0,10.0,700.0,2.789,6.107,70.493
846,0.5,1.0,490.0,2.0,30.0,700.0,4.831,7.768,96.223
462,0.5,1.0,700.0,2.0,30.0,350.0,6.09,7.531,93.404
109,0.5,1.0,350.0,0.5,30.0,35.0,1.808,0.585,58.956
578,0.5,1.0,350.0,0.95,30.0,490.0,2.646,1.196,124.479
450,0.5,1.0,700.0,0.95,10.0,350.0,0.21,0.127,52.111
830,0.25,1.0,490.0,2.0,30.0,700.0,0.0,0.0,197.25
8,0.25,1.0,35.0,0.95,10.0,35.0,1.404,1.05,43.456
116,0.5,1.0,350.0,0.95,30.0,35.0,4.522,1.941,75.967
6,0.25,1.0,35.0,0.5,30.0,35.0,1.417,0.599,69.949
537,0.95,1.0,35.0,0.25,30.0,490.0,4.251,1.373,126.986
447,0.25,1.0,700.0,2.0,30.0,350.0,0.002,0.002,82.25
826,0.25,1.0,490.0,2.0,10.0,700.0,0.0,0.0,inf
120,0.5,1.0,350.0,2.0,10.0,35.0,4.988,12.861,37.355
4,0.25,1.0,35.0,0.5,10.0,35.0,0.661,0.423,42.986
444,0.25,1.0,700.0,2.0,10.0,350.0,0.0,0.0,112.5
582,0.5,1.0,350.0,2.0,10.0,490.0,3.83,9.492,59.789
820,0.95,1.0,350.0,0.95,30.0,700.0,9.174,8.933,109.2
2,0.25,1.0,35.0,0.25,30.0,35.0,0.586,0.227,63.634
126,0.5,1.0,350.0,2.0,30.0,35.0,9.337,14.815,66.185
588,0.5,1.0,350.0,2.0,30.0,490.0,5.985,11.29,76.986
534,0.95,1.0,35.0,0.25,10.0,490.0,2.58,1.006,132.189
814,0.95,1.0,350.0,0.95,10.0,700.0,4.94,7.633,77.659
438,0.95,1.0,490.0,0.95,30.0,350.0,11.714,8.253,125.619
520,0.5,1.0,35.0,2.0,10.0,490.0,5.745,13.712,65.431
453,0.5,1.0,700.0,0.95,30.0,350.0,1.099,0.519,65.013
112,0.5,1.0,350.0,0.95,10.0,35.0,1.948,1.233,41.548
43,0.5,1.0,35.0,0.95,30.0,35.0,7.235,4.54,79.115
98,0.25,1.0,350.0,2.0,10.0,35.0,1.327,1.168,37.291
574,0.5,1.0,350.0,0.95,10.0,490.0,1.044,0.621,91.727
837,0.5,1.0,490.0,0.95,30.0,700.0,1.125,0.475,170.546
516,0.5,1.0,35.0,0.95,30.0,490.0,4.796,3.27,116.803
12,0.25,1.0,35.0,0.95,30.0,35.0,2.301,1.373,59.449
540,0.95,1.0,35.0,0.5,10.0,490.0,4.675,3.241,101.988
96,0.25,1.0,350.0,0.95,30.0,35.0,0.888,0.415,46.097
572,0.5,1.0,350.0,0.5,30.0,490.0,0.429,0.181,96.046
94,0.25,1.0,350.0,0.95,10.0,35.0,0.188,0.119,31.548
102,0.25,1.0,350.0,2.0,30.0,35.0,2.59,1.747,55.947
16,0.25,1.0,35.0,2.0,10.0,35.0,2.784,3.927,40.942
456,0.5,1.0,700.0,2.0,10.0,350.0,2.871,5.747,58.937
834,0.5,1.0,490.0,0.95,10.0,700.0,0.111,0.062,122.881
106,0.5,1.0,350.0,0.5,10.0,35.0,0.456,0.266,28.605
901,0.95,1.0,700.0,0.95,30.0,700.0,7.276,5.107,117.33
351,0.5,2.0,350.0,0.5,30.0,350.0,0.334,0.181,62.479
535,0.95,2.0,35.0,0.25,10.0,490.0,1.77,0.976,97.326
683,0.5,2.0,700.0,2.0,30.0,490.0,2.709,5.924,56.816
317,0.95,2.0,35.0,0.5,10.0,350.0,3.408,3.343,69.319
331,0.95,2.0,35.0,0.95,30.0,350.0,9.603,14.724,79.362
671,0.5,2.0,700.0,0.95,10.0,490.0,0.0,0.0,49.2
545,0.95,2.0,35.0,0.5,30.0,490.0,5.421,3.895,92.305
513,0.5,2.0,35.0,0.95,10.0,490.0,1.998,2.461,69.254
349,0.5,2.0,350.0,0.5,10.0,350.0,0.004,0.003,41.649
499,0.25,2.0,35.0,2.0,30.0,490.0,1.164,2.004,67.506
538,0.95,2.0,35.0,0.25,30.0,490.0,3.103,1.327,103.869
503,0.5,2.0,35.0,0.25,10.0,490.0,0.425,0.274,118.289
507,0.5,2.0,35.0,0.5,10.0,490.0,1.093,0.822,97.744
337,0.25,2.0,350.0,0.95,10.0,350.0,0.0,0.0,57.75
521,0.5,2.0,35.0,2.0,10.0,490.0,3.672,13.125,43.754
345,0.25,2.0,350.0,2.0,30.0,350.0,0.242,0.253,67.53
505,0.5,2.0,35.0,0.25,30.0,490.0,0.818,0.452,105.259
517,0.5,2.0,35.0,0.95,30.0,490.0,2.943,3.015,79.98
674,0.5,2.0,700.0,0.95,30.0,490.0,0.184,0.126,56.847
668,0.25,2.0,700.0,2.0,30.0,490.0,0.0,0.0,82.0
541,0.95,2.0,35.0,0.5,10.0,490.0,3.29,3.117,76.105
325,0.95,2.0,35.0,0.95,10.0,350.0,5.914,12.903,56.254
341,0.25,2.0,350.0,2.0,10.0,350.0,0.016,0.021,56.839
339,0.25,2.0,350.0,0.95,30.0,350.0,0.0,0.0,88.75
677,0.5,2.0,700.0,2.0,10.0,490.0,1.755,4.3,50.067
510,0.5,2.0,35.0,0.5,30.0,490.0,1.673,1.139,92.206
321,0.95,2.0,35.0,0.5,30.0,350.0,5.8,4.121,88.191
589,0.5,2.0,350.0,2.0,30.0,490.0,3.968,10.595,55.513
