,eta_d,c_hat,c_c,eta_c,tau_SD,c_d,E,lc,dt
608,0.95,20.0,350.0,0.95,10.0,490.0,0.787,5.41,19.881
416,0.5,20.0,490.0,2.0,10.0,350.0,0.275,2.974,15.341
422,0.5,20.0,490.0,2.0,30.0,350.0,0.328,3.628,15.267
824,0.95,20.0,350.0,0.95,30.0,700.0,0.959,5.626,24.667
130,0.5,20.0,350.0,2.0,30.0,35.0,0.837,8.423,12.27
818,0.95,20.0,350.0,0.95,10.0,700.0,0.667,4.741,20.521
124,0.5,20.0,350.0,2.0,10.0,35.0,0.705,7.348,10.833
74,0.95,20.0,35.0,0.5,10.0,35.0,0.924,2.76,13.133
436,0.95,20.0,490.0,0.95,10.0,350.0,0.642,4.026,19.64
531,0.5,20.0,35.0,2.0,30.0,490.0,0.923,9.526,16.048
900,0.95,20.0,700.0,0.95,10.0,700.0,0.01,0.032,24.894
524,0.5,20.0,35.0,2.0,10.0,490.0,0.814,8.454,15.576
20,0.25,20.0,35.0,2.0,10.0,35.0,0.106,0.671,12.598
25,0.25,20.0,35.0,2.0,30.0,35.0,0.13,0.852,13.205
889,0.5,20.0,700.0,2.0,30.0,700.0,0.0,0.0,23.75
552,0.95,20.0,35.0,0.95,10.0,490.0,1.546,10.479,19.783
884,0.5,20.0,700.0,2.0,10.0,700.0,0.0,0.0,32.0
483,0.95,20.0,700.0,0.95,30.0,350.0,0.64,2.189,28.026
42,0.5,20.0,35.0,0.95,10.0,35.0,0.376,1.795,12.107
558,0.95,20.0,35.0,0.95,30.0,490.0,1.768,11.148,21.398
47,0.5,20.0,35.0,0.95,30.0,35.0,0.472,2.12,13.695
592,0.5,20.0,350.0,2.0,30.0,490.0,0.422,4.724,15.487
478,0.95,20.0,700.0,0.95,10.0,350.0,0.244,1.07,22.481
59,0.5,20.0,35.0,2.0,30.0,35.0,1.292,12.971,12.376
867,0.95,20.0,490.0,0.95,30.0,700.0,0.666,3.623,25.577
466,0.5,20.0,700.0,2.0,30.0,350.0,0.07,0.78,15.199
862,0.95,20.0,490.0,0.95,10.0,700.0,0.388,2.767,20.455
460,0.5,20.0,700.0,2.0,10.0,350.0,0.028,0.3,15.577
79,0.95,20.0,35.0,0.5,30.0,35.0,1.188,3.106,16.073
442,0.95,20.0,490.0,0.95,30.0,350.0,1.026,5.11,24.42
850,0.5,20.0,490.0,2.0,30.0,700.0,0.074,0.829,15.352
84,0.95,20.0,35.0,0.95,10.0,35.0,1.859,12.031,13.822
844,0.5,20.0,490.0,2.0,10.0,700.0,0.033,0.36,15.58
586,0.5,20.0,350.0,2.0,10.0,490.0,0.349,3.822,15.515
91,0.95,20.0,35.0,0.95,30.0,35.0,2.076,13.006,14.94
52,0.5,20.0,35.0,2.0,10.0,35.0,1.215,12.126,11.658
614,0.95,20.0,350.0,0.95,30.0,490.0,1.118,6.294,24.176
703,0.95,20.0,700.0,0.95,30.0,490.0,0.476,1.627,30.364
208,0.95,20.0,490.0,0.95,10.0,35.0,1.024,5.6,12.241
190,0.5,20.0,490.0,2.0,30.0,35.0,0.626,6.242,12.184
768,0.95,20.0,35.0,0.95,10.0,700.0,1.416,9.694,20.741
364,0.5,20.0,350.0,2.0,10.0,350.0,0.455,4.925,14.881
656,0.95,20.0,490.0,0.95,10.0,490.0,0.526,3.434,20.518
662,0.95,20.0,490.0,0.95,30.0,490.0,0.863,4.512,24.789
214,0.95,20.0,490.0,0.95,30.0,35.0,1.306,6.217,15.975
747,0.5,20.0,35.0,2.0,30.0,700.0,0.718,7.661,16.491
334,0.95,20.0,35.0,0.95,30.0,350.0,1.842,11.556,20.581
740,0.5,20.0,35.0,2.0,10.0,700.0,0.653,6.946,16.139
328,0.95,20.0,35.0,0.95,10.0,350.0,1.627,10.967,18.815
234,0.5,20.0,700.0,2.0,10.0,35.0,0.278,2.822,9.177
680,0.5,20.0,700.0,2.0,10.0,490.0,0.0,0.0,17.833
240,0.5,20.0,700.0,2.0,30.0,35.0,0.367,3.583,11.764
686,0.5,20.0,700.0,2.0,30.0,490.0,0.017,0.196,15.203
252,0.95,20.0,700.0,0.95,10.0,35.0,0.689,2.845,11.861
257,0.95,20.0,700.0,0.95,30.0,35.0,1.03,3.698,16.588
307,0.5,20.0,35.0,2.0,30.0,350.0,1.031,10.675,15.105
272,0.25,20.0,35.0,2.0,10.0,350.0,0.011,0.083,15.592
698,0.95,20.0,700.0,0.95,10.0,490.0,0.126,0.604,23.318
300,0.5,20.0,35.0,2.0,10.0,350.0,0.964,9.954,14.773
277,0.25,20.0,35.0,2.0,30.0,350.0,0.014,0.108,15.216
370,0.5,20.0,350.0,2.0,30.0,350.0,0.508,5.56,15.077
774,0.95,20.0,35.0,0.95,30.0,700.0,1.636,10.428,22.401
905,0.95,20.0,700.0,0.95,30.0,700.0,0.248,0.831,33.305
636,0.5,20.0,490.0,2.0,10.0,490.0,0.193,2.135,15.577
804,0.5,20.0,350.0,2.0,30.0,700.0,0.29,3.289,15.92
394,0.95,20.0,350.0,0.95,30.0,350.0,1.221,6.877,22.809
148,0.95,20.0,350.0,0.95,10.0,35.0,1.25,7.515,12.884
154,0.95,20.0,350.0,0.95,30.0,35.0,1.498,8.322,15.266
798,0.5,20.0,350.0,2.0,10.0,700.0,0.234,2.631,15.63
184,0.5,20.0,490.0,2.0,10.0,35.0,0.533,5.458,10.323
642,0.5,20.0,490.0,2.0,30.0,490.0,0.253,2.838,15.815
388,0.95,20.0,350.0,0.95,10.0,350.0,0.881,5.89,19.213
395,0.95,30.0,350.0,0.95,30.0,350.0,0.65,5.472,16.261
235,0.5,30.0,700.0,2.0,10.0,35.0,0.058,0.647,8.592
185,0.5,30.0,490.0,2.0,10.0,35.0,0.303,3.44,8.954
559,0.95,30.0,35.0,0.95,30.0,490.0,1.17,10.013,16.282
741,0.5,30.0,35.0,2.0,10.0,700.0,0.458,5.076,15.724
53,0.5,30.0,35.0,2.0,10.0,35.0,0.976,10.566,10.797
155,0.95,30.0,350.0,0.95,30.0,35.0,0.925,6.987,12.579
417,0.5,30.0,490.0,2.0,10.0,350.0,0.059,0.635,15.572
329,0.95,30.0,35.0,0.95,10.0,350.0,1.12,9.917,14.93
553,0.95,30.0,35.0,0.95,10.0,490.0,1.063,9.487,15.439
819,0.95,30.0,350.0,0.95,10.0,700.0,0.353,3.434,15.558
241,0.5,30.0,700.0,2.0,30.0,35.0,0.093,1.067,10.738
149,0.95,30.0,350.0,0.95,10.0,35.0,0.727,6.019,9.758
687,0.5,30.0,700.0,2.0,30.0,490.0,0.0,0.0,14.75
308,0.5,30.0,35.0,2.0,30.0,350.0,0.732,8.311,14.173
125,0.5,30.0,350.0,2.0,10.0,35.0,0.477,5.365,9.813
609,0.95,30.0,350.0,0.95,10.0,490.0,0.453,4.375,15.045
301,0.5,30.0,35.0,2.0,10.0,350.0,0.689,7.546,14.425
799,0.5,30.0,350.0,2.0,10.0,700.0,0.022,0.238,15.576
525,0.5,30.0,35.0,2.0,10.0,490.0,0.602,6.621,15.058
532,0.5,30.0,35.0,2.0,30.0,490.0,0.632,7.219,14.802
131,0.5,30.0,350.0,2.0,30.0,35.0,0.524,6.064,11.393
681,0.5,30.0,700.0,2.0,10.0,490.0,0.0,0.0,12.75
60,0.5,30.0,35.0,2.0,30.0,35.0,1.005,11.183,11.377
335,0.95,30.0,35.0,0.95,30.0,350.0,1.236,10.528,15.621
825,0.95,30.0,350.0,0.95,30.0,700.0,0.474,4.328,16.82
775,0.95,30.0,35.0,0.95,30.0,700.0,1.094,9.299,17.182
437,0.95,30.0,490.0,0.95,10.0,350.0,0.303,2.888,14.88
92,0.95,30.0,35.0,0.95,30.0,35.0,1.52,11.685,13.017
593,0.5,30.0,350.0,2.0,30.0,490.0,0.247,2.921,15.1
587,0.5,30.0,350.0,2.0,10.0,490.0,0.2,2.269,15.456
371,0.5,30.0,350.0,2.0,30.0,350.0,0.315,3.693,14.633
643,0.5,30.0,490.0,2.0,30.0,490.0,0.047,0.534,15.19
845,0.5,30.0,490.0,2.0,10.0,700.0,0.0,0.0,24.5
85,0.95,30.0,35.0,0.95,10.0,35.0,1.315,11.026,11.31
769,0.95,30.0,35.0,0.95,10.0,700.0,0.939,8.36,16.238
191,0.5,30.0,490.0,2.0,30.0,35.0,0.376,4.34,11.358
851,0.5,30.0,490.0,2.0,30.0,700.0,0.0,0.0,19.5
365,0.5,30.0,350.0,2.0,10.0,350.0,0.271,3.059,14.733
637,0.5,30.0,490.0,2.0,10.0,490.0,0.002,0.021,15.622
423,0.5,30.0,490.0,2.0,30.0,350.0,0.162,1.893,15.189
467,0.5,30.0,700.0,2.0,30.0,350.0,0.0,0.0,14.0
748,0.5,30.0,35.0,2.0,30.0,700.0,0.51,5.87,15.495
663,0.95,30.0,490.0,0.95,30.0,490.0,0.355,3.105,16.825
443,0.95,30.0,490.0,0.95,30.0,350.0,0.437,3.556,16.891
215,0.95,30.0,490.0,0.95,30.0,35.0,0.715,5.075,12.341
461,0.5,30.0,700.0,2.0,10.0,350.0,0.0,0.0,12.0
805,0.5,30.0,350.0,2.0,30.0,700.0,0.135,1.614,15.19
389,0.95,30.0,350.0,0.95,10.0,350.0,0.517,4.901,14.636
209,0.95,30.0,490.0,0.95,10.0,35.0,0.544,4.356,9.132
615,0.95,30.0,350.0,0.95,30.0,490.0,0.588,5.09,16.6
657,0.95,30.0,490.0,0.95,10.0,490.0,0.254,2.452,15.477
309,0.5,40.0,35.0,2.0,30.0,350.0,0.566,6.584,14.16
302,0.5,40.0,35.0,2.0,10.0,350.0,0.513,5.733,14.453
61,0.5,40.0,35.0,2.0,30.0,35.0,0.831,9.632,10.96
749,0.5,40.0,35.0,2.0,30.0,700.0,0.349,4.14,15.245
54,0.5,40.0,35.0,2.0,10.0,35.0,0.737,8.345,10.382
742,0.5,40.0,35.0,2.0,10.0,700.0,0.321,3.656,15.576
93,0.95,40.0,35.0,0.95,30.0,35.0,1.145,10.71,11.293
533,0.5,40.0,35.0,2.0,30.0,490.0,0.463,5.421,14.982
86,0.95,40.0,35.0,0.95,10.0,35.0,1.081,10.194,10.291
526,0.5,40.0,35.0,2.0,10.0,490.0,0.417,4.682,15.252
