,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
offwind_gen [MWh],893709138.0,896017618.8,903851227.5,907727763.6,907924392.3,897046178.4,891751070.4,891797244.3,901118933.4,907195410.9,895509150.0,1144519138.5,1895317316.4,1149400493.1,1910380059.3,1143266329.8,1921540790.1,1145542605.0,1153749033.9,1157209836.0,1907873719.5,1150341003.6,1897026900.3,1912392772.2,1164510031.8,1902191289.9,1904979623.1,1907469416.7,1142102606.1,1141238459.1,1895647919.7,1895834237.7,1138220790.9
solar_gen [MWh],810138759.3,800893769.7,796676283.0,795166212.9,795370829.7,798827821.8,813337178.7,813223350.0,797104709.7,795209244.3,806241148.2,1522737091.2,2689384354.8,1515381320.1,2685880880.4,1523013175.8,2687751350.7,1521057666.9,1509247087.5,1504986238.2,2687111543.7,1512657063.6,2692332162.0,2689172596.2,1501145709.3,2689635301.5,2693068241.4,2687019976.2,1523795659.8,1521590624.4,2690719899.9,2700045942.0,1524744539.4
hydro_gen [MWh],512008355.1,512041603.8,512044799.4,512200101.0,512239529.4,512033182.2,512052072.9,512015492.7,512058023.7,512089125.6,511988608.2,512171688.6,512900931.0,511813030.8,512835069.6,512302410.9,511993681.5,511895166.3,512490872.7,512855443.5,511791954.3,511940218.5,512923794.3,512857265.7,512183958.6,512906759.4,512884448.4,511779584.7,512490903.3,512803009.2,512864979.6,512901091.2,512850040.8
tot_gen [MWh],2800.632,2820.766,2838.51,2852.784,2856.244,2827.383,2791.918,2791.939,2833.891,2845.4,2810.676,4729.013,8007.65,4756.372,8018.771,4730.911,8027.874,4743.646,4774.603,4788.4,8010.955,4764.799,8035.469,8022.72,4794.755,8013.18,8028.95,8011.021,4728.596,4747.33,8009.498,8042.025,4735.948
cap_onwind [GW],160.149,162.973,161.994,160.481,160.03,163.422,159.682,159.683,162.822,160.885,160.739,453.682,1000.64,458.288,1003.678,454.212,1009.793,455.116,461.362,462.829,1000.439,459.947,1033.341,1005.598,463.194,1001.76,1019.514,1000.751,453.773,456.476,1001.661,1037.903,454.656
cap_offwind [GW],221.645,220.797,220.167,219.275,218.919,220.19,221.602,221.605,220.19,220.235,221.501,278.105,451.422,278.003,453.421,277.906,453.376,277.668,278.642,279.353,451.494,277.76,448.034,453.645,279.94,452.198,451.396,451.386,278.041,277.859,450.918,446.784,277.584
cap_solar [GW],763.616,753.953,748.432,743.621,742.971,751.833,766.687,766.678,749.426,745.443,759.464,1422.624,2450.115,1415.608,2445.65,1422.622,2449.191,1422.006,1404.547,1395.833,2450.613,1411.735,2443.409,2448.996,1391.766,2450.244,2448.279,2450.426,1422.6,1419.0,2452.209,2446.793,1422.165
cap_hydro [GW],142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191
cap_gas_OCGT [GW],61.684,54.156,45.773,38.227,37.058,50.714,63.441,63.439,47.522,42.202,58.515,42.763,43.757,26.134,23.28,42.198,13.579,34.824,13.264,8.278,43.721,21.02,9.351,18.982,7.065,29.454,10.275,42.337,42.774,31.021,35.761,7.108,38.158
cap_gas_CCGT [GW],45.019,44.75,43.803,42.448,41.937,44.626,45.123,45.123,44.309,43.233,44.897,5.57,0.277,6.152,0.295,5.648,0.303,5.841,6.938,7.767,0.292,6.463,0.203,0.302,8.055,0.283,0.232,0.29,5.572,5.942,0.277,0.211,5.764
