,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
BE0 0 solar rooftop,3159525.973,3160450.372,3160812.456,3161676.772,3161639.345,3161083.801,3159630.178,3158953.404,3161051.639,3161151.967,3159333.279,3154331.095,3161694.494,3150385.934,3161251.198,3154565.409,3153869.794,3149878.53,3157606.237,3161567.753,3150905.347,3151855.09,3161901.999,3161505.339,3155341.609,3161829.952,3161789.243,3150754.281,3157565.938,3161440.879,3161453.611,3161642.368,3161737.773
BG0 0 solar rooftop,2911557.471,2911618.731,2911307.846,2911600.622,2911672.31,2911567.647,2911792.264,2911039.117,2911554.473,2911445.788,2911068.534,2901048.317,2910666.894,2895486.913,2909584.313,2901729.942,2894400.632,2895462.043,2905519.149,2911124.876,2891601.252,2897208.767,2910481.597,2909881.12,2903043.905,2910977.65,2910421.448,2891305.39,2905365.123,2910971.595,2909896.583,2910293.136,2911469.921
CH0 0 solar rooftop,2963831.471,2963970.665,2965222.665,2963498.327,2964750.091,2964867.212,2964054.763,2963260.389,2965227.404,2964209.693,2963410.666,2957038.782,2965005.085,2951971.654,2964194.537,2957488.115,2950473.684,2951918.42,2960836.074,2965371.423,2946832.653,2953894.617,2964838.971,2964583.719,2957022.902,2965233.101,2964699.771,2946371.978,2960726.624,2965183.496,2964583.442,2964263.009,2965544.156
CZ0 0 solar rooftop,3045745.421,3045927.558,3045789.804,3046911.041,3049699.866,3044211.837,3045683.573,3045212.077,3046099.502,3044479.431,3044338.8,3050156.174,3053252.934,3048363.641,3053099.202,3050325.913,3050427.041,3048414.648,3051495.33,3053041.434,3050050.423,3048961.581,3052989.697,3053144.135,3050365.521,3053279.388,3053017.635,3050021.963,3051484.859,3053036.219,3053139.102,3052739.418,3053164.47
DE0 0 solar rooftop,21937755.511,21070768.334,20978898.212,19962420.786,19854729.274,21142556.827,21927941.412,21927649.007,21044293.054,20429144.526,21498091.0,23113161.312,23118619.959,23109211.856,23118588.171,23112847.12,23109293.948,23109071.816,23115622.436,23119057.929,23107766.454,23110727.294,23118844.506,23118721.467,23114066.024,23118697.177,23118694.79,23107746.835,23115586.549,23118824.955,23118452.824,23118713.111,23119046.204
DK0 0 solar rooftop,623978.834,664267.169,754887.563,784955.652,785033.641,684322.357,620362.04,619831.14,775718.759,784775.733,564647.116,778473.452,784941.925,776659.463,784432.096,779840.801,779683.089,775391.358,782986.062,784842.843,778750.633,777993.493,784877.422,784690.565,780071.176,784976.408,784827.422,778576.714,782031.001,784717.073,784724.037,784631.844,784928.25
DK3 0 solar rooftop,394289.432,392328.036,361415.117,377924.735,356322.166,377696.274,395428.24,395153.057,372738.895,362910.407,392568.604,425768.713,430607.295,424674.144,430202.63,427420.498,426488.195,424323.68,429332.049,430632.639,425790.594,425871.789,430536.21,430380.528,426740.822,430669.406,430536.385,425640.544,428653.432,430591.344,430391.102,430366.744,430786.851
EE6 0 solar rooftop,336548.131,336603.134,336547.491,336658.367,336702.532,336634.682,336634.25,336509.455,336640.277,336579.073,336497.157,333026.25,336443.889,331309.636,336129.585,334168.983,333527.322,331944.943,335308.505,336452.791,333146.784,332081.492,336406.355,336219.303,333328.978,336504.294,336406.413,332967.487,335086.977,336426.665,336278.255,336289.03,336604.158
ES0 0 solar rooftop,18530230.466,18530257.217,18529990.005,18530601.289,18530966.381,18530246.892,18530599.76,18529342.557,18530254.065,18530196.794,18529234.04,18513404.809,18529371.049,18501654.32,18529191.206,18512913.982,18503568.687,18501607.564,18519371.726,18529911.475,18501506.904,18505467.905,18529884.412,18529523.044,18512929.346,18529724.385,18529348.362,18501456.069,18520334.809,18529576.198,18528875.941,18530086.652,18530346.576
ES2 0 solar rooftop,262649.274,262971.823,262778.949,263291.868,263372.916,263057.052,262974.252,262653.291,263149.219,263130.981,262728.965,256487.622,264297.386,256513.143,264288.411,258965.741,264241.033,256896.176,260988.75,263012.767,264251.095,257543.836,264285.073,264288.644,257958.833,264290.751,264289.246,264242.894,259909.409,262994.929,264290.069,264279.609,263361.795
FI3 0 solar rooftop,1241301.956,1155815.603,1079783.185,1029606.769,1021000.135,1163310.67,1244263.899,1244030.887,1104472.865,1059083.374,1222850.369,1282841.505,1285990.784,1280951.934,1285648.459,1283272.623,1282486.09,1281206.47,1284735.42,1286051.521,1281173.997,1281742.733,1285949.095,1285827.731,1283592.682,1286072.971,1285957.035,1280987.801,1284358.815,1285935.08,1285786.794,1285790.742,1286115.528
FR0 0 solar rooftop,21133375.861,21133566.5,21133463.552,21133829.797,21134068.878,21133585.342,21133621.229,21132906.853,21133531.607,21133522.293,21132904.91,21122630.266,21132812.33,21115542.418,21132650.344,21121567.106,21114452.964,21115437.073,21126204.052,21133256.518,21112592.966,21117947.636,21132982.293,21132907.734,21123124.254,21132910.876,21132750.705,21112488.656,21126684.938,21133093.016,21132471.478,21132825.424,21133437.112
GB4 0 solar rooftop,404382.628,396467.946,373202.265,214874.931,183266.602,379882.064,385281.468,385096.147,355591.248,311448.695,407307.264,437096.175,443470.473,435130.423,443100.183,439074.893,439823.832,435433.096,441174.356,443087.101,439707.507,436345.591,443414.237,443238.569,438010.345,443514.423,443362.88,439534.599,440661.533,443102.464,443295.458,443220.892,443415.815
GB5 0 solar rooftop,17039587.007,17039984.696,17039756.232,17040107.608,17040469.992,17039949.108,17039722.728,17038364.405,17039690.557,17039815.251,17038848.47,17027666.351,17039696.443,17019892.602,17039581.894,17026362.789,17022289.107,17019835.817,17032077.476,17039883.645,17020553.478,17022417.093,17039750.558,17039808.065,17028430.392,17039709.889,17039554.071,17020374.96,17032485.424,17039750.354,17039362.594,17039361.0,17040105.452
GR0 0 solar rooftop,3562139.97,3562182.087,3561748.78,3561335.752,3561493.992,3562088.08,3562474.237,3561401.203,3562044.714,3561566.844,3561456.199,3544083.597,3561395.86,3531989.904,3560107.751,3544568.248,3537046.785,3533187.987,3549873.79,3560784.565,3534742.829,3534627.977,3561157.817,3560422.658,3541701.928,3561661.436,3560806.037,3534605.786,3551441.175,3560883.863,3560587.587,3560481.691,3561777.683
HR0 0 solar rooftop,1324738.586,1324291.07,1318643.931,1314367.457,1313382.047,1320723.651,1324534.054,1323900.859,1319931.534,1313869.285,1323082.408,1346401.429,1350724.395,1344693.436,1350170.491,1346833.728,1345749.754,1344616.867,1348550.067,1350743.008,1344224.915,1345194.881,1350627.498,1350471.149,1346986.137,1350818.375,1350648.392,1343891.808,1348330.985,1350599.722,1350522.401,1350480.418,1350822.297
HU0 0 solar rooftop,3326237.329,3316115.257,3296700.34,3293375.246,3299088.96,3313973.472,3327587.235,3327085.668,3310908.707,3296578.373,3322442.831,3336801.693,3339664.252,3335509.559,3339400.819,3336957.3,3335109.142,3335371.207,3338196.862,3339796.329,3334713.45,3336103.955,3339582.703,3339467.364,3337474.42,3339720.392,3339608.897,3334710.282,3338002.004,3339683.013,3339463.056,3339534.035,3339817.304
IE4 0 solar rooftop,1175344.179,1175457.511,1175329.959,1175564.692,1175656.163,1175522.121,1175446.484,1175017.63,1175505.228,1175416.224,1175155.783,1168121.216,1175473.119,1165325.902,1174924.868,1169421.412,1169283.833,1165321.226,1172295.983,1175166.812,1167654.45,1166525.234,1175469.09,1175252.7,1168885.667,1175611.979,1175442.219,1167302.245,1171703.193,1175174.226,1175252.151,1175204.385,1175483.931
IT0 0 solar rooftop,21383463.713,21383648.348,21383151.993,21383798.827,21384314.98,21383648.754,21383966.573,21382791.962,21383473.048,21383228.762,21382607.173,21352568.316,21380686.573,21329427.255,21380205.195,21351517.356,21330643.507,21331357.747,21360444.705,21381287.14,21329340.296,21334814.66,21380415.478,21380831.684,21350124.815,21380844.686,21380105.836,21329080.795,21365059.877,21381064.589,21379908.212,21379583.162,21382408.455
IT1 0 solar rooftop,647061.798,647338.491,647270.127,647712.502,647775.638,647452.381,647488.443,646868.171,647441.486,647441.265,646821.38,629336.769,647331.908,618963.764,646232.067,634214.005,636107.435,620684.508,640390.225,646439.863,634046.013,622024.266,647206.036,646895.029,631089.109,647503.605,647238.688,633335.22,639871.758,646234.882,647024.924,646863.2,647140.285
LT6 0 solar rooftop,758557.211,758959.35,729790.129,670763.112,665673.02,760904.159,758583.908,758424.78,736903.056,699493.379,759157.455,777798.162,781165.704,776226.402,780808.133,778412.408,777816.274,776257.398,779873.944,781167.257,777058.196,776922.604,781103.232,780942.802,778370.906,781222.031,781082.284,776916.797,779572.78,781093.479,780968.861,780996.171,781262.977
LU0 0 solar rooftop,164115.814,168403.08,169203.742,169760.459,170066.194,168407.354,162022.926,161767.897,168773.02,169009.222,166381.739,165395.779,169989.144,164939.606,169770.931,166326.583,168419.982,165439.712,168743.053,169715.984,167611.601,165659.624,170092.994,169854.789,168101.732,170023.697,170073.719,167611.173,166572.026,167598.369,169842.991,170036.832,167591.174
LV6 0 solar rooftop,515488.548,515540.038,515485.785,515605.898,515652.496,515574.61,515572.587,515437.402,515576.893,515529.377,515432.218,512202.845,515326.706,510671.091,514922.677,513118.952,511441.157,510802.383,514342.291,515427.962,511015.386,511359.211,515258.171,515037.759,512650.521,515383.202,515243.901,510893.743,514110.057,515368.857,515131.112,515119.685,515548.107
ME0 0 solar rooftop,269055.194,269095.584,268319.0,269421.506,269540.261,269182.171,269656.531,269263.105,269463.513,268982.097,269048.232,268628.831,270619.45,267986.867,270266.698,269550.816,268410.855,268584.913,269906.039,270873.544,267944.306,268409.727,270468.748,270370.525,268830.891,270661.385,270489.467,267763.794,269845.337,270874.819,270448.435,270366.337,271053.893
MK0 0 solar rooftop,821422.261,821457.155,821285.191,821718.343,821794.325,821513.154,821657.175,821154.183,821404.289,821471.72,821152.559,813301.744,821148.97,809832.872,820229.356,815246.238,814442.323,810135.099,817616.102,821172.417,812964.13,811090.202,820887.569,820623.06,814295.84,821265.361,821095.908,812561.1,817707.651,820969.824,820705.403,820803.878,821548.281
NL0 0 solar rooftop,4445763.785,4445846.389,4445848.952,4446093.132,4446246.179,4445902.805,4445965.904,4445230.057,4445845.87,4445903.463,4445273.01,4436952.301,4445542.935,4432239.828,4445108.511,4436994.723,4434590.871,4431209.285,4441343.22,4445690.958,4429443.695,4434093.791,4445775.381,4445413.667,4437792.138,4445720.295,4445664.881,4429278.531,4440767.547,4445450.446,4445098.454,4445450.973,4445815.84
NO3 0 solar rooftop,51.875,35.712,47.814,59.656,39.98,42.587,39.527,51.072,76.078,48.913,62.876,1233950.411,1234872.989,1233660.353,1234784.986,1234050.417,1233872.099,1233456.445,1234709.823,1234944.308,1233645.476,1234096.428,1234863.475,1234832.258,1234708.916,1234881.563,1234857.049,1233625.802,1234447.458,1234833.298,1234835.15,1234832.659,1234878.361
PL0 0 solar rooftop,8428106.096,8633398.407,8701902.615,8844673.699,8815943.161,8666469.605,8435560.928,8434782.597,8655750.675,8859589.144,8454736.289,10855794.121,10862576.143,10851676.778,10862502.013,10855920.562,10852393.116,10851429.286,10859420.831,10863083.626,10849469.078,10853557.86,10862816.42,10862649.174,10857900.005,10862753.191,10862638.494,10849450.975,10858864.386,10862735.919,10862295.429,10862700.227,10863014.82
PT0 0 solar rooftop,3821958.027,3821908.518,3821601.748,3822213.83,3822425.51,3821864.782,3822290.608,3820861.614,3821925.0,3821875.589,3821103.235,3807836.903,3821616.029,3798712.756,3820700.132,3808438.457,3801255.893,3798827.753,3813406.503,3821602.782,3798419.574,3801644.733,3821556.892,3821047.309,3807409.262,3822003.081,3821369.809,3798227.12,3814071.325,3821390.813,3820874.875,3821620.519,3822034.886
RO0 0 solar rooftop,7064509.453,7059474.944,7047998.938,7035983.339,7035392.632,7054927.057,7066534.171,7065590.134,7053774.568,7042673.951,7062043.927,7073909.988,7080334.625,7069567.799,7080236.179,7074064.508,7069518.216,7069860.265,7076322.711,7080768.639,7069216.814,7070319.802,7080459.341,7080244.092,7073832.062,7080606.728,7080334.947,7069284.742,7076838.325,7080705.187,7079984.031,7080372.276,7081007.843
RS0 0 solar rooftop,2598312.481,2600884.046,2600050.358,2600819.52,2601282.094,2600828.548,2597779.127,2597093.577,2600429.189,2599494.806,2598626.986,2578370.96,2595993.464,2574700.184,2594984.41,2580324.235,2581749.64,2577611.528,2577870.805,2582032.1,2579751.98,2574444.161,2601576.078,2594859.661,2581477.945,2597126.491,2597762.945,2578978.822,2579276.876,2576826.794,2595120.765,2601578.585,2581469.524
SE3 0 solar rooftop,2553457.661,2553481.154,2553472.115,2553545.281,2553560.537,2553508.584,2553496.736,2553432.653,2553516.944,2553500.308,2553445.163,2550307.928,2553006.98,2548688.104,2552577.166,2550646.387,2547428.333,2548742.609,2551698.703,2553164.952,2545718.565,2549364.883,2552914.002,2552766.15,2550579.882,2553097.852,2552919.712,2545722.91,2551668.887,2553118.449,2552744.709,2552716.493,2553263.595
SI0 0 solar rooftop,845517.895,844855.708,827923.681,828758.951,828232.96,842423.625,845767.555,845825.349,839324.209,828049.594,844070.991,902410.9,903934.314,903005.04,902257.986,903013.681,910174.25,901980.089,903453.184,905643.251,910882.614,903718.538,906182.361,901642.237,906895.827,902625.127,902684.768,910387.253,902847.344,901531.119,905105.059,908919.825,901096.23
SK0 0 solar rooftop,1720485.122,1720565.574,1720458.166,1720707.226,1720773.071,1720594.604,1720672.065,1720217.994,1720591.731,1720543.761,1720242.847,1715658.847,1720707.227,1713068.733,1720184.714,1716191.843,1715384.357,1713104.036,1718206.697,1720561.492,1715346.573,1714249.406,1720496.286,1720321.547,1716576.193,1720765.013,1720463.406,1715038.862,1717890.109,1720408.65,1720491.754,1720321.49,1720653.233
AL0 0 ror,60240.415,60203.099,59825.44,60243.49,60279.896,60124.295,60410.156,60323.505,60189.423,60126.866,60252.444,59858.788,60990.005,59574.358,60786.629,60189.298,59656.019,59858.974,60551.57,61195.567,59473.232,59715.5,60942.083,60809.249,60196.515,61008.069,60873.736,59503.929,60358.217,61156.506,60850.714,60830.456,61251.067
AT0 0 ror,7339637.537,7342376.306,7350718.446,7384566.811,7392900.908,7342398.506,7347500.273,7346578.105,7346636.089,7358668.748,7332521.497,7559586.557,7594467.624,7555972.847,7593290.782,7559635.057,7571685.329,7553481.754,7569082.121,7593503.038,7567095.931,7559398.14,7594431.712,7593898.77,7577256.676,7594573.989,7594387.622,7566788.295,7565374.563,7574987.022,7593840.755,7593739.208,7574356.889
BE0 0 ror,107242.452,107318.522,107276.542,107510.814,107540.865,107340.171,107338.632,107117.869,107378.354,107360.418,107131.698,105188.758,107338.781,104648.498,107030.706,105856.6,105097.183,105006.171,106531.614,107565.854,104679.61,104982.948,107406.874,107096.119,105853.921,107357.386,107334.209,104753.191,106246.932,107575.145,107140.094,107288.723,107670.373
BG0 0 ror,14308.27,14340.651,14322.85,14406.921,14417.497,14329.919,14358.694,14336.628,14365.054,14393.028,14313.257,13933.801,14190.467,13907.075,14124.24,14037.206,13860.769,13951.787,14167.622,14427.389,13806.374,13952.116,14238.138,14124.874,14117.864,14217.9,14183.373,13816.295,14089.769,14418.239,14138.328,14219.687,14457.598
CH0 0 ror,4490845.991,4493914.894,4505908.377,4506827.599,4508686.984,4496385.326,4490863.264,4490179.139,4502404.904,4505561.769,4493964.571,4504278.814,4516501.337,4495799.508,4515222.478,4506142.626,4496334.097,4496476.614,4510505.834,4512981.912,4490408.201,4498918.588,4516431.237,4516020.94,4495446.551,4516545.9,4516332.806,4489938.076,4510629.169,4516541.523,4515905.821,4515514.18,4517288.203
CZ0 0 ror,49296.97,49334.52,49322.087,49429.722,49462.036,49326.101,49344.968,49273.711,49353.552,49370.627,49248.35,48970.172,49507.913,48858.057,49439.968,49129.009,49015.549,48954.631,49343.609,49558.143,48977.782,48949.1,49403.359,49435.266,49203.165,49504.795,49411.935,48992.229,49223.845,49556.495,49465.362,49313.22,49575.686
DE0 0 ror,5340341.545,5340425.877,5340576.71,5340986.33,5341154.43,5340632.041,5340749.604,5339721.437,5340562.906,5340665.617,5339747.539,5331717.51,5340488.442,5325833.227,5339374.486,5333022.027,5326534.326,5325934.562,5336310.82,5340810.577,5320869.553,5328091.751,5340617.308,5340077.631,5332914.987,5340493.971,5340560.451,5320349.822,5336402.702,5340434.586,5339995.011,5340010.303,5340990.399
ES0 0 ror,168150.449,168219.342,168152.179,168373.238,168421.489,168178.989,168253.917,167972.261,168237.273,168267.742,168013.927,163730.154,167473.039,161478.745,166691.421,165098.697,161123.572,162910.145,166214.224,168142.149,159621.825,162269.519,167527.514,166991.849,163620.302,167492.698,167394.681,159768.696,165893.256,168159.207,167044.761,167228.425,168351.429
FI3 0 ror,2310023.433,2310057.992,2310057.611,2310168.704,2310197.279,2310114.594,2310090.803,2309978.435,2310118.329,2310099.751,2309998.874,2301996.733,2308890.359,2297584.945,2307875.263,2304743.618,2298054.432,2299243.898,2306296.64,2309250.144,2293155.836,2299574.871,2308752.726,2308536.654,2302146.833,2309033.537,2308927.285,2292758.729,2306440.458,2309054.086,2308461.17,2308204.491,2309631.938
FR0 0 ror,10167539.434,10167709.604,10167794.14,10168168.701,10168290.762,10167785.728,10167778.75,10167073.061,10167777.369,10167892.145,10167149.15,10151102.307,10166188.304,10140930.335,10164904.69,10151202.709,10138775.351,10140711.977,10156990.567,10166537.259,10132394.131,10144203.303,10166226.263,10165756.142,10151694.104,10166160.641,10165988.976,10131700.195,10157973.788,10166252.66,10165443.731,10165374.114,10167016.67
GB4 0 ror,91152.877,91292.584,91040.287,91240.223,91288.876,91236.343,91108.788,90819.722,91230.346,91157.549,91057.632,86390.418,90734.98,84913.04,90049.85,87928.958,85811.043,86146.106,89090.485,91133.519,84935.054,85559.003,90645.806,90231.743,86424.453,90770.592,90551.453,85065.285,88599.807,91230.528,90313.031,90302.532,91441.79
GB5 0 ror,1270919.445,1271187.311,1271037.095,1271293.721,1271488.089,1271193.642,1271096.601,1270158.01,1271113.505,1271063.375,1270496.872,1247513.085,1270282.775,1232231.948,1268379.294,1256816.428,1248261.965,1241062.407,1260147.449,1269438.119,1241337.169,1237088.836,1270100.733,1269630.678,1240650.387,1270123.407,1270018.916,1240332.84,1260868.576,1269551.578,1269673.735,1268689.097,1270828.289
GR0 0 ror,80041.636,80103.174,79986.177,80212.674,80253.549,80058.181,80171.965,80011.97,80104.183,80117.797,79980.857,78739.221,80043.09,78401.491,79770.708,79110.82,78375.195,78695.723,79487.19,80304.035,78275.424,78527.598,79966.862,79788.428,79016.805,80072.419,79918.045,78308.078,79329.237,80315.299,79878.693,79835.025,80420.916
HR0 0 ror,417525.295,417669.32,416043.005,416516.19,416567.02,416699.573,417543.0,417353.966,416503.401,416035.993,417518.512,420001.774,421432.545,419202.337,421109.812,420616.983,418693.757,419754.186,421048.159,421704.435,417791.149,419471.184,421404.053,421273.648,420208.497,421431.899,421423.2,417816.455,420858.622,421676.288,421299.68,421236.503,421760.129
HU0 0 ror,25694.005,25691.839,25594.906,25659.941,25691.71,25667.535,25749.275,25705.649,25679.13,25642.718,25682.583,25700.543,25966.181,25702.282,25926.05,25793.919,25681.209,25737.754,25924.712,26069.897,25632.937,25758.871,25969.651,25922.676,25889.598,25975.427,25958.332,25638.691,25829.317,26049.837,25931.015,25951.853,26069.207
IE4 0 ror,195942.554,196034.776,195875.967,196065.453,196144.337,196010.204,196016.026,195716.1,196013.419,195960.236,195795.827,190266.297,195413.681,187364.202,194553.662,192220.338,187032.073,189596.303,193298.13,195746.75,185483.916,188323.101,195290.889,194928.749,189406.376,195431.134,195245.271,185865.452,192967.52,195891.544,195032.06,194794.06,196145.986
IT0 0 ror,10506321.05,10506386.65,10506136.866,10506850.312,10507091.9,10506457.736,10506763.749,10505644.457,10506328.667,10506266.97,10505527.963,10471907.844,10503615.827,10448256.879,10501738.17,10471417.812,10454608.899,10449150.803,10482140.262,10503113.346,10447435.002,10453879.633,10503573.337,10502868.849,10469870.888,10503475.105,10503268.246,10446420.255,10485463.954,10502847.05,10502355.887,10501739.937,10504494.251
IT1 0 ror,38219.161,38367.505,38325.36,38502.228,38516.112,38340.464,38348.688,38230.195,38419.394,38449.316,38184.692,35629.734,38076.346,35081.171,37791.061,36351.919,36265.468,35601.075,37227.927,38402.55,36017.967,35385.506,38067.082,37810.268,36547.43,38125.808,37952.722,36066.089,36776.246,38355.323,37871.158,37926.45,38493.145
LT6 0 ror,169805.058,169854.488,169791.207,169887.926,169931.889,169845.471,169858.228,169743.476,169858.788,169828.909,169745.538,167805.413,169445.106,166926.45,169089.432,168507.759,166493.452,167650.034,169125.656,169863.644,165695.793,167437.826,169422.874,169189.816,168203.58,169462.931,169370.445,165782.527,168819.245,169850.688,169228.141,169249.592,169935.438
LU0 0 ror,54240.708,55901.031,56092.379,56419.25,56496.79,55848.336,53505.071,53393.464,56079.466,56111.003,55009.389,54465.868,56183.327,54359.227,55957.667,54744.822,54845.894,54466.166,55691.323,56531.412,54389.947,54585.99,56335.042,56030.543,55667.578,56218.557,56240.024,54436.328,54945.947,55735.702,56007.94,56224.078,55767.892
LV6 0 ror,960446.951,960531.902,960461.004,960610.219,960686.341,960565.384,960543.194,960368.543,960579.491,960511.934,960385.619,955675.161,959838.326,953238.635,959031.583,957705.177,951867.907,954818.391,958669.873,960333.516,949691.4,954575.092,959761.716,959410.429,955860.779,959857.265,959765.436,949675.302,958323.5,960290.359,959489.604,959378.935,960563.229
ME0 0 ror,352171.769,352218.17,351588.744,352233.148,352375.776,352095.744,352482.123,352111.626,352215.227,351942.658,352047.587,350048.281,352768.107,349053.954,352259.159,351002.786,348589.481,349755.27,351689.756,353060.974,347672.39,349436.74,352607.239,352479.451,350471.958,352759.26,352607.299,347742.393,351380.0,353017.347,352546.336,352374.239,353205.334
NO3 0 ror,570400.479,570414.497,570408.482,570433.866,570442.936,570421.766,570411.212,570386.741,570422.523,570415.993,570400.244,569768.257,570307.677,569639.267,570180.523,570007.573,568949.68,569673.938,570347.62,570478.223,568547.122,569960.877,570298.577,570254.066,570451.185,570306.772,570302.323,568547.31,570141.78,570400.94,570260.402,570254.867,570427.333
PL0 0 ror,333942.663,334021.803,333940.598,334150.082,334223.807,334018.264,334053.949,333774.02,334027.417,334019.515,333794.289,329414.241,333541.996,327206.971,332942.78,331092.907,327543.124,328635.291,332448.162,334126.593,324984.74,328417.624,333614.445,333235.292,330579.506,333539.135,333571.328,325176.718,331804.79,334012.923,333185.46,333328.071,334197.733
PT0 0 ror,2370278.178,2370364.156,2370338.522,2370743.385,2370863.157,2370398.329,2370518.972,2369838.588,2370415.74,2370475.215,2369904.232,2358524.19,2369289.941,2350622.613,2367867.017,2361529.831,2350831.315,2352962.12,2364235.53,2369773.701,2345709.023,2353015.144,2369420.73,2368757.801,2356409.707,2369368.755,2369291.909,2345340.364,2364703.755,2369673.186,2368647.652,2368845.323,2370377.138
RO0 0 ror,1316852.361,1316767.955,1316003.966,1316273.903,1316318.414,1316650.235,1317226.344,1316625.007,1316626.068,1316074.237,1316523.829,1312063.737,1317584.463,1308416.577,1317093.98,1314285.025,1312126.012,1310418.133,1315003.687,1317460.447,1310823.419,1309257.761,1317534.823,1317335.258,1311037.038,1317607.713,1317604.912,1310556.84,1315370.238,1317427.537,1317365.091,1317276.652,1317813.875
RS0 0 ror,2730358.898,2730878.812,2730560.312,2731059.969,2731146.727,2730943.428,2730673.704,2730129.143,2730889.089,2730750.002,2730195.819,2703762.088,2708971.403,2699756.46,2712226.657,2706146.042,2702661.687,2700826.223,2707814.435,2713477.975,2699700.983,2700684.01,2719396.465,2711318.009,2706047.465,2710028.784,2712821.982,2699903.573,2707852.748,2711259.429,2709120.856,2723633.146,2716465.583
SE3 0 ror,2756711.956,2756731.504,2756738.113,2756823.439,2756842.886,2756786.951,2756768.782,2756674.141,2756786.458,2756769.616,2756695.536,2749935.556,2755700.868,2746613.238,2754628.957,2752047.486,2744720.778,2746867.693,2753152.877,2755945.316,2740641.714,2748050.946,2755431.298,2755263.441,2750089.104,2755800.914,2755604.585,2740356.858,2753697.574,2755832.249,2755233.253,2754911.441,2756364.976
SI0 0 ror,1677499.464,1680166.594,1667731.775,1673219.609,1672889.477,1675662.508,1680221.022,1679814.002,1673113.427,1670202.825,1678737.353,1674919.967,1697082.377,1674414.479,1693901.339,1675837.849,1684940.494,1673878.176,1674581.011,1676296.452,1690306.374,1673937.246,1696084.483,1691143.718,1671333.302,1697451.492,1690735.846,1690478.216,1676445.286,1678122.312,1696348.357,1697172.546,1678629.466
SK0 0 ror,1357739.516,1357859.33,1357792.822,1357564.34,1357458.324,1357896.738,1357914.881,1357609.57,1357914.994,1357704.408,1357604.705,1353841.171,1357924.299,1351381.304,1357435.865,1355227.639,1353138.855,1352061.691,1356585.081,1357985.179,1352678.714,1352627.943,1357729.279,1357613.582,1354731.454,1357907.661,1357805.549,1352511.69,1356228.452,1357844.653,1357756.42,1357468.675,1358099.858
AL0 0 hydro,1682611.455,1680856.657,1679318.524,1682659.64,1683816.369,1680883.076,1682659.519,1682313.913,1681187.02,1680664.034,1682486.867,1694799.409,1701368.822,1692685.191,1700461.24,1695787.162,1693229.326,1692760.407,1698118.104,1701243.715,1691612.186,1693372.047,1701180.962,1700823.347,1695553.865,1701414.441,1701073.249,1691430.681,1697922.596,1701183.459,1700859.741,1700727.019,1701588.738
AT0 0 hydro,4512957.659,4512958.825,4512958.299,4512958.271,4512959.56,4512958.6,4512958.133,4512958.144,4512957.37,4512957.348,4512957.535,4512922.503,4512955.968,4512907.433,4512954.873,4512909.484,4512897.25,4512892.496,4512924.635,4512953.719,4512897.462,4512917.038,4512952.381,4512956.805,4512903.892,4512953.956,4512956.398,4512884.051,4512930.557,4512955.577,4512955.297,4512949.981,4512955.366
BA0 0 hydro,2149197.865,2149198.382,2149198.007,2149197.85,2149198.677,2149198.239,2149198.131,2149198.162,2149197.43,2149197.389,2149197.758,2149177.864,2149196.536,2149171.351,2149195.845,2149172.219,2149164.586,2149164.594,2149178.194,2149194.919,2149163.688,2149176.843,2149194.627,2149197.177,2149166.538,2149195.16,2149197.068,2149154.85,2149182.518,2149196.408,2149196.378,2149192.679,2149196.372
BE0 0 hydro,15560.542,15560.595,15560.382,15560.287,15560.635,15560.458,15560.591,15560.398,15560.092,15560.153,15560.232,15554.221,15559.486,15550.915,15558.906,15553.42,15540.631,15552.637,15555.86,15559.974,15540.674,15553.181,15558.975,15559.388,15551.896,15558.793,15559.151,15540.272,15556.231,15560.402,15559.331,15557.786,15560.379
BG0 0 hydro,1198534.997,1198535.341,1198535.163,1198535.015,1198535.606,1198535.28,1198535.151,1198535.206,1198534.608,1198534.725,1198534.917,1198521.349,1198534.675,1198518.707,1198534.257,1198518.177,1198514.82,1198513.747,1198523.131,1198533.025,1198516.59,1198522.414,1198533.241,1198534.828,1198515.157,1198533.735,1198534.779,1198511.63,1198524.916,1198534.359,1198534.574,1198531.827,1198534.088
CH0 0 hydro,7715920.835,7715921.473,7715921.011,7715920.873,7715921.736,7715921.337,7715921.18,7715921.398,7715920.315,7715920.256,7715920.646,7715894.47,7715918.638,7715881.996,7715918.123,7715885.019,7715873.258,7715872.429,7715894.968,7715917.321,7715871.345,7715888.792,7715916.194,7715919.601,7715879.452,7715917.339,7715918.961,7715862.167,7715899.848,7715918.854,7715918.131,7715914.319,7715918.826
CZ0 0 hydro,767052.138,767052.513,767052.221,767052.048,767052.76,767052.41,767052.27,767052.384,767051.666,767051.66,767052.03,767038.236,767051.643,767033.837,767051.19,767033.55,767029.427,767029.441,767038.823,767050.062,767030.291,767037.991,767050.388,767051.889,767031.19,767050.631,767051.855,767024.911,767041.219,767051.445,767051.533,767048.841,767051.117
