,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
ME0 0 solar rooftop,269771.264,269586.25,269397.258,269276.288,270121.641,269893.52,269636.133,269447.906,270130.449,269597.187,269348.107,269494.637,269329.347,269018.666,269989.087,269753.72,268717.12,269339.947,269514.852,269469.642,268993.364,267936.036,268443.915,268821.389,268699.191,268046.927,270557.212,269855.292,269552.241,270723.054,269342.593,268441.938,268576.15,269225.391,268550.054,268156.29,268527.481,268403.759,269351.643,270517.792,268827.549,269351.668,268639.834,269009.421,267598.288,268643.625,268544.331,269581.67,270906.583,269542.58,267882.372,268586.17,269015.046,270059.763,267422.032,270601.317,268008.971,270762.622,267288.772,270263.946,269909.139,268259.941,267934.137
MK0 0 solar rooftop,821663.693,821451.956,821419.518,821311.537,821702.507,821686.826,821426.31,821370.349,821770.232,821415.4,821233.501,821443.809,821330.41,821172.885,821623.981,821438.159,820843.528,821290.708,821358.823,821520.707,812573.919,813186.185,815134.375,812303.046,811854.589,813399.627,820852.004,817351.008,815230.267,820745.443,821445.58,814616.147,815296.503,813604.044,811148.759,810106.694,811253.934,814605.726,817990.53,820710.309,815900.173,813989.541,810701.358,812915.453,812419.157,811466.898,811940.116,814742.752,821097.95,814333.089,813527.731,811404.695,812832.234,819806.028,812223.169,821036.506,813133.171,821282.762,812347.914,820247.945,817030.481,814457.661,813669.275
NL0 0 solar rooftop,4445924.286,4445458.278,4445589.439,4445528.986,4445836.604,4445865.378,4445543.346,4445574.288,4445970.748,4445419.161,4445371.255,4445649.006,4445523.136,4445277.347,4445624.735,4445462.532,4445004.474,4445448.549,4445456.38,4445768.804,4431032.055,4429909.619,4435126.04,4434355.362,4430997.952,4431953.231,4445363.632,4440362.826,4437283.459,4445473.967,4445747.668,4433428.021,4434863.722,4434601.023,4431385.681,4430326.691,4432652.202,4436165.789,4441105.818,4445107.848,4436542.844,4435840.233,4432026.828,4432349.475,4432218.686,4432694.086,4435166.269,4435367.696,4445373.89,4436105.642,4432188.051,4430688.007,4433141.025,4444425.587,4428835.904,4445484.509,4428500.873,4445342.153,4428061.509,4444597.037,4439030.337,4434759.526,4429741.294
NO3 0 solar rooftop,42.609,62.608,50.54,42.719,53.132,54.973,56.191,61.263,45.228,62.359,61.192,56.004,47.739,73.325,68.297,46.965,48.338,50.606,59.138,40.976,1233495.158,1233733.9,1234053.123,1233728.432,1233437.333,1233794.694,1234855.346,1234306.669,1234028.913,1234826.364,49.344,1233994.901,1234067.44,1233854.613,1233407.867,1233276.479,1233502.345,1234121.094,1234529.518,1234833.744,1234208.574,1233938.191,1233564.05,1233626.09,1233650.703,1233454.169,1233800.722,1234003.433,1234840.323,1233927.959,1233847.837,1233370.583,1233643.086,1234770.673,1233540.075,1234868.059,1233696.86,1234862.963,1233502.991,1234783.831,1234259.409,1234008.874,1233722.523
PL0 0 solar rooftop,8428036.224,8435033.59,8436212.303,8420627.958,8449291.018,8445777.018,8436008.176,8440439.207,8440390.152,8435089.771,8434351.78,8424927.159,8432722.558,8422342.625,8439213.248,8435102.179,8434872.899,8449834.949,8409295.783,8445276.456,10850847.019,10849098.431,10852485.411,10853717.882,10851106.623,10851598.779,10862397.386,10858269.746,10855938.593,10862776.906,8413130.675,10851767.293,10851345.883,10853734.299,10851413.089,10850825.751,10852470.851,10854120.931,10858646.301,10862352.176,10853692.889,10854931.47,10852011.176,10852170.348,10852091.998,10852381.522,10854384.855,10854576.28,10862653.271,10854334.618,10851658.207,10850937.482,10852714.26,10861702.874,10849137.788,10862483.323,10847923.034,10862245.954,10848430.544,10862139.149,10857617.31,10853974.103,10849384.667
PT0 0 solar rooftop,3822177.3,3821432.233,3821723.898,3821595.186,3822131.387,3822234.64,3821625.863,3821715.348,3822375.233,3821381.792,3821407.993,3821804.789,3821558.512,3821166.783,3821922.361,3821418.435,3820459.614,3821427.173,3821501.175,3821985.509,3798867.118,3798225.635,3805539.226,3803507.264,3798615.926,3801900.689,3821182.899,3813031.915,3808071.152,3821483.123,3821858.819,3803732.164,3805424.54,3803871.448,3798842.19,3797809.089,3801203.993,3805823.695,3814431.739,3820883.823,3807930.01,3806548.931,3800060.607,3800771.789,3802129.838,3801252.252,3804809.937,3805461.901,3821326.65,3805407.643,3801617.682,3798216.609,3801832.814,3819757.358,3797854.104,3821633.271,3797509.42,3821422.06,3797068.346,3820225.0,3811553.009,3805504.359,3799287.439
RO0 0 solar rooftop,7064904.177,7065781.074,7066025.763,7062619.333,7065581.578,7065779.357,7064795.792,7066067.916,7066788.242,7065762.654,7065656.658,7062787.374,7063896.633,7062120.932,7066203.596,7065679.758,7065256.636,7065188.579,7062779.936,7065364.883,7069510.392,7068955.565,7071460.321,7071968.387,7069579.791,7070516.682,7080137.261,7076303.012,7074069.54,7080715.841,7063609.593,7070821.685,7070849.999,7072081.024,7069778.963,7069275.658,7070837.186,7072509.373,7076355.177,7080171.028,7072716.611,7073219.342,7070362.557,7070665.59,7071048.35,7070717.68,7072548.396,7072888.942,7080636.371,7072645.089,7070571.097,7069476.555,7071055.336,7079291.056,7068954.236,7080363.393,7068139.002,7080307.271,7068564.784,7079936.985,7075837.111,7072308.217,7069124.589
RS0 0 solar rooftop,2598417.475,2597307.044,2597482.172,2598414.362,2598076.931,2597824.09,2598001.308,2597461.241,2597771.959,2597274.854,2597343.913,2598620.91,2598195.408,2598407.895,2597487.971,2597220.612,2597051.802,2597693.986,2598491.686,2598250.525,2575378.417,2579761.882,2583079.91,2579138.589,2575742.885,2581334.633,2595352.08,2579526.385,2580183.376,2582747.717,2598630.447,2582322.576,2583771.806,2577094.635,2578222.052,2576211.246,2577442.152,2582802.181,2589060.968,2595478.22,2585297.715,2579378.829,2579131.033,2576847.898,2580276.944,2576266.817,2578274.67,2579755.77,2581315.825,2579644.471,2579653.91,2577021.687,2578584.73,2592996.452,2578619.27,2596192.506,2579419.504,2596586.635,2578481.439,2594127.887,2581154.278,2582528.834,2580093.823
SE3 0 solar rooftop,2553516.289,2553476.09,2553470.18,2553461.772,2553519.751,2553521.489,2553484.441,2553471.71,2553529.938,2553485.007,2553447.23,2553485.456,2553471.779,2553440.033,2553512.739,2553468.744,2553392.931,2553467.832,2553479.82,2553483.431,2549000.123,2546372.73,2548144.642,2549609.472,2548901.661,2546643.99,2552870.72,2551494.743,2550469.451,2553100.89,2553474.462,2547681.016,2548341.91,2549755.073,2548720.246,2548703.286,2549211.317,2548545.452,2550908.549,2552744.302,2548989.225,2550252.081,2548973.929,2549286.286,2546512.184,2549216.929,2549840.232,2550166.186,2553116.869,2550040.703,2547147.06,2548818.939,2549398.092,2552397.606,2545393.593,2552994.286,2546107.876,2552952.831,2545336.011,2552478.48,2551219.982,2547838.808,2546363.163
SI0 0 solar rooftop,845426.278,845929.91,845935.571,844419.957,846383.66,846233.917,845741.54,846371.944,846293.755,846096.935,846104.065,844150.266,844759.036,844432.335,846327.411,846059.673,846151.947,845711.816,843814.393,846133.423,902707.451,910194.057,910821.133,902655.354,902323.701,910631.601,904557.946,902398.148,902703.544,902103.135,844270.903,910148.187,911236.085,902997.75,902753.944,902767.259,902161.5,909389.337,908666.667,903632.301,910737.505,902743.956,902973.703,903377.73,909711.791,901917.634,902746.596,903150.211,901502.664,903563.216,909198.982,902656.289,902462.112,905014.496,910563.896,904598.677,910706.569,903519.022,910618.896,904881.289,903062.966,909533.565,910474.202
SK0 0 solar rooftop,1720673.028,1720423.719,1720467.416,1720398.319,1720673.438,1720676.461,1720470.166,1720456.593,1720736.6,1720424.715,1720345.842,1720506.898,1720406.971,1720254.207,1720608.686,1720424.839,1720031.642,1720367.324,1720427.621,1720546.697,1713220.34,1715360.885,1717090.666,1714302.624,1712970.428,1716142.501,1720576.563,1717382.796,1715774.862,1720356.961,1720510.027,1716658.105,1717109.057,1714410.716,1712934.34,1712820.549,1713644.547,1716806.68,1718958.463,1720504.707,1717602.806,1715519.275,1713401.067,1713749.474,1715402.0,1713610.979,1714712.449,1715239.744,1720360.851,1714973.477,1715958.948,1712851.362,1713823.044,1720149.586,1715118.883,1720708.617,1715450.314,1720714.018,1715040.142,1720273.231,1717300.426,1716792.381,1715741.392
AL0 0 ror,60375.831,60311.973,60323.054,60343.547,60569.131,60505.186,60330.319,60324.759,60577.586,60334.832,60386.897,60343.442,60282.597,60236.571,60444.989,60380.322,60098.535,60363.301,60419.498,60329.916,59989.435,59521.334,59708.547,59981.707,59907.134,59524.247,60906.59,60534.881,60178.478,61069.629,60257.576,59689.524,59715.418,60049.992,59709.792,59688.614,59766.167,59819.457,60064.299,60975.304,59827.69,60214.04,59825.395,59992.304,59491.924,59871.944,59890.049,60312.912,61170.836,60280.611,59605.669,59869.452,60004.954,60721.923,59415.94,60950.03,59582.895,61069.533,59383.787,60801.234,60488.073,59686.498,59491.444
AT0 0 ror,7340412.257,7346794.038,7346863.874,7333062.479,7343119.738,7346101.666,7340840.18,7348395.167,7350306.219,7346879.936,7346987.994,7334631.285,7338049.956,7332520.429,7347238.184,7347091.111,7345855.507,7344031.257,7336981.016,7341313.282,7552261.926,7567108.785,7576687.76,7556265.422,7551397.061,7571425.591,7594079.015,7564174.837,7560714.136,7573456.438,7336813.99,7574154.233,7575723.341,7556868.882,7552761.511,7550742.824,7553471.811,7578009.195,7586569.38,7593757.989,7578669.791,7557973.269,7553668.511,7554074.698,7571379.303,7554030.408,7556811.458,7557943.872,7573075.742,7558020.161,7572136.752,7550216.979,7554065.854,7592607.668,7566223.956,7594404.694,7566223.978,7594184.414,7564905.37,7592949.086,7562680.722,7576449.605,7567631.54
BE0 0 ror,107370.253,107209.996,107172.277,107234.185,107386.078,107372.173,107227.281,107200.196,107443.177,107190.497,107202.513,107254.618,107213.876,107120.472,107306.105,107229.606,106949.896,107259.413,107273.136,107273.589,105314.865,104774.043,105091.749,105386.665,105154.262,104764.141,107210.468,106559.24,105826.01,107468.11,107241.608,105093.115,105121.59,105512.742,104733.344,104627.763,104857.388,105350.775,105865.093,107300.045,105340.323,105871.805,105011.967,105365.077,104724.027,105076.534,105111.08,106013.946,107579.725,105959.471,104958.993,105049.926,105388.961,106948.815,104568.511,107276.356,104839.908,107414.311,104531.212,107070.601,106429.867,105113.861,104719.983
BG0 0 ror,14350.239,14329.095,14333.904,14348.26,14412.919,14396.784,14333.775,14327.725,14422.996,14328.406,14352.534,14339.826,14327.339,14298.037,14373.393,14357.345,14252.944,14349.198,14370.444,14339.812,13981.216,13813.007,13869.398,13991.338,13964.227,13829.065,14156.398,14144.625,14039.468,14358.976,14301.314,13851.26,13859.751,14002.294,13920.622,13909.467,13931.742,13882.56,13919.661,14209.035,13885.482,14046.947,13949.205,13985.417,13824.328,13960.761,13969.453,14078.869,14416.515,14066.954,13842.112,13953.523,13991.841,14099.211,13805.596,14181.33,13841.706,14261.624,13794.73,14126.265,14133.388,13857.342,13812.765
CH0 0 ror,4491138.083,4490429.442,4490464.055,4493741.295,4490838.194,4491040.89,4490356.688,4490464.596,4490906.062,4490383.631,4490335.156,4493933.495,4491640.892,4493033.224,4490660.335,4490459.135,4489844.529,4490505.96,4493639.256,4490634.894,4499211.438,4490938.318,4499774.094,4501728.02,4497568.901,4494337.633,4516207.63,4510680.535,4505928.036,4516633.252,4492439.891,4497652.543,4499337.143,4503265.605,4496753.513,4494780.001,4498417.715,4501325.52,4509016.959,4515842.702,4502175.436,4504451.285,4498125.397,4500317.707,4493831.23,4498642.556,4501058.159,4504246.051,4516691.238,4505747.211,4495521.237,4497107.341,4500805.085,4514801.814,4489094.701,4516397.85,4490338.516,4516221.32,4487790.942,4514932.95,4508919.407,4499246.444,4491336.588
CZ0 0 ror,49359.662,49290.059,49285.432,49313.498,49383.582,49373.219,49308.85,49298.776,49403.64,49295.334,49307.618,49315.939,49300.164,49264.553,49341.693,49313.033,49192.605,49320.803,49334.017,49316.906,49005.567,48989.465,49077.986,49018.894,48967.087,49009.177,49484.95,49292.359,49130.878,49524.773,49295.819,49070.708,49079.814,49052.802,48875.997,48842.502,48897.363,49127.444,49228.033,49499.533,49128.958,49135.488,48934.17,49011.101,48997.723,48954.528,48979.548,49175.125,49551.534,49160.883,49037.553,48938.434,49022.202,49434.566,48956.017,49500.304,49017.936,49529.285,48936.38,49458.658,49273.442,49082.812,48983.154
DE0 0 ror,5340627.077,5340216.726,5340194.82,5340035.211,5340470.199,5340549.706,5340105.489,5340101.465,5340736.485,5340058.887,5339822.882,5340234.093,5340043.717,5339687.33,5340341.258,5340177.864,5339417.912,5339988.411,5339913.276,5340393.476,5327346.593,5321933.845,5328346.43,5329817.542,5326737.198,5324074.375,5340285.771,5336097.048,5332643.009,5340554.576,5340396.03,5326670.55,5328530.933,5330753.098,5326304.635,5324738.913,5327410.21,5329658.856,5335389.012,5339905.933,5330142.294,5331799.639,5327338.582,5328744.338,5322932.935,5327616.32,5329204.086,5331224.167,5340594.258,5332312.487,5325209.978,5326154.829,5328727.76,5339183.876,5319712.168,5340414.096,5321318.869,5340246.596,5318861.4,5339238.421,5334974.849,5327731.928,5321791.486
ES0 0 ror,168304.806,168101.579,168055.837,168143.431,168307.565,168289.659,168126.484,168105.831,168366.326,168080.854,168099.705,168173.6,168114.714,168013.639,168218.321,168116.647,167786.27,168142.082,168182.939,168183.119,163962.031,160019.289,161275.08,163957.219,163506.084,160146.829,167219.304,166513.043,165067.09,168038.53,168162.335,161290.336,161457.742,164377.973,162489.221,162132.277,162866.031,161952.436,163800.203,167330.186,162095.632,165117.898,163017.686,163969.138,159777.322,163332.882,163358.859,165301.243,168209.624,165296.124,160664.913,163310.96,164104.413,166516.229,159352.955,167346.118,160189.259,167610.269,159258.467,166732.03,166106.584,161288.834,159996.611
FI3 0 ror,2310125.361,2310080.956,2310045.651,2310027.296,2310125.458,2310135.563,2310063.895,2310041.266,2310147.604,2310075.993,2310009.092,2310063.33,2310044.715,2309983.995,2310118.637,2310063.56,2309904.277,2310049.294,2310052.419,2310072.66,2302041.804,2294839.593,2298470.77,2302504.787,2301282.605,2295305.079,2308635.344,2306611.592,2304312.851,2309154.289,2310049.888,2297709.382,2298862.496,2303633.655,2299955.113,2298597.723,2300404.541,2299641.684,2304199.396,2308394.55,2300007.231,2303912.575,2300547.508,2302809.343,2293819.104,2300733.176,2299556.472,2304050.771,2309387.255,2304178.033,2297102.581,2300817.059,2302244.272,2307573.438,2292463.941,2308800.624,2294763.545,2308794.551,2292068.24,2307690.739,2306160.424,2297995.713,2294649.762
FR0 0 ror,10167828.056,10167358.062,10167357.781,10167364.406,10167699.404,10167704.662,10167389.374,10167337.8,10167824.253,10167284.959,10167135.963,10167489.521,10167339.517,10167094.482,10167548.122,10167390.674,10166789.962,10167221.918,10167334.963,10167577.689,10141483.509,10132735.13,10144012.766,10146794.404,10140806.561,10138190.621,10165959.887,10157743.504,10151760.299,10166434.49,10167576.336,10140903.555,10143219.961,10148309.529,10141067.587,10138868.933,10143251.772,10146958.278,10157148.586,10165392.857,10147046.299,10149141.479,10142103.358,10143929.085,10138062.086,10143407.921,10147572.694,10148734.675,10166317.776,10150627.984,10138759.908,10139935.601,10144696.641,10163956.453,10130898.137,10166098.74,10130394.347,10165710.99,10128752.26,10164476.106,10155245.69,10144373.085,10132595.078
GB4 0 ror,91335.902,90944.229,90939.665,91194.467,91375.305,91341.522,91144.139,91093.145,91414.067,90932.977,91111.491,91213.442,91134.119,91035.645,91204.529,90994.928,90559.896,91192.468,91240.208,91207.546,86842.481,85181.031,85833.582,86984.332,86503.398,85092.22,90468.325,89296.035,87935.487,91039.321,91173.669,85785.18,85865.504,87204.511,85645.755,85258.239,85762.17,86382.279,87432.968,90647.565,86367.109,87967.493,86226.883,86911.739,85020.572,86262.124,86260.234,88310.414,91245.509,88296.745,85511.293,86278.401,87022.048,89877.217,84680.569,90603.727,85324.132,90881.294,84640.133,90143.558,89119.567,85807.694,85017.234
GB5 0 ror,1271193.827,1270618.915,1270506.216,1270789.99,1271058.553,1270998.674,1270679.73,1270567.843,1271200.225,1270497.51,1270423.105,1270921.694,1270657.848,1270432.035,1270806.374,1270592.876,1269762.804,1270550.806,1270755.24,1270945.908,1248443.895,1242821.953,1251877.22,1249254.314,1244585.618,1243822.525,1270018.141,1263232.527,1255719.419,1269608.517,1271019.567,1250499.787,1251414.12,1252714.235,1237957.992,1233281.699,1240125.872,1255067.473,1261891.407,1269678.736,1255011.866,1255378.495,1243284.63,1249253.434,1242127.396,1242890.0,1241030.956,1254841.803,1270165.513,1258232.105,1247264.601,1243721.345,1249289.3,1268521.628,1237372.821,1270035.548,1242737.36,1270009.834,1235109.671,1268400.765,1260665.849,1250801.423,1242175.332
GR0 0 ror,80187.127,80066.845,80048.12,80083.567,80263.555,80239.877,80082.079,80068.002,80309.279,80068.131,80088.016,80092.988,80055.514,79959.643,80179.064,80121.065,79809.464,80116.364,80139.341,80103.312,78866.91,78330.396,78536.792,78878.661,78780.429,78340.862,79938.419,79523.583,79098.027,80202.932,80034.986,78511.975,78547.824,78952.776,78575.557,78538.704,78637.301,78655.505,78941.408,80040.48,78671.49,79132.482,78697.255,78875.463,78302.622,78751.564,78776.857,79245.252,80330.889,79185.752,78431.772,78727.504,78892.444,79723.961,78224.389,80001.38,78407.867,80156.932,78196.358,79824.402,79455.446,78512.725,78301.085
HR0 0 ror,417718.142,417375.288,417448.444,417616.283,417929.082,417802.203,417611.79,417463.963,417825.007,417381.46,417520.426,417639.835,417563.493,417528.499,417561.368,417447.38,417021.529,417562.756,417764.17,417636.684,420243.787,417941.6,418698.804,420150.313,420064.244,418039.027,421338.486,421079.752,420682.39,421621.743,417568.515,418666.181,418779.124,420387.058,419790.866,419592.645,419883.905,418991.442,419958.872,421350.382,419179.053,420600.97,419822.136,420213.747,417865.479,420008.208,419854.921,420685.652,421692.643,420666.311,418324.152,419986.94,420246.328,421031.934,417567.812,421386.865,418128.508,421477.058,417470.024,421119.51,420999.284,418630.403,418017.462
HU0 0 ror,25749.081,25707.657,25709.242,25722.0,25785.728,25784.081,25713.22,25713.575,25811.508,25714.014,25730.241,25718.624,25709.291,25671.463,25756.902,25737.471,25625.215,25735.166,25743.782,25722.837,25744.125,25635.882,25686.016,25754.187,25729.946,25652.593,25943.723,25872.722,25798.906,26019.528,25689.992,25680.842,25684.749,25762.914,25700.108,25683.331,25700.931,25708.935,25753.163,25971.814,25708.562,25799.598,25725.887,25748.039,25645.25,25724.882,25735.712,25829.481,26046.788,25824.514,25663.708,25722.371,25756.84,25901.124,25628.382,25962.2,25654.645,25996.29,25613.752,25925.8,25870.267,25687.806,25636.29
IE4 0 ror,196120.852,195877.107,195822.28,195936.382,196129.39,196093.817,195925.43,195895.41,196177.606,195838.891,195886.667,195973.126,195892.92,195775.888,196015.826,195897.23,195510.612,195939.739,195986.063,195991.743,190693.628,186256.862,187772.126,190928.559,190170.533,185816.648,195181.259,193850.515,192315.315,195760.196,195971.673,187763.565,187987.359,191259.241,189036.786,188197.974,189133.774,189042.003,191190.281,195278.497,188890.814,192243.86,189736.528,190774.445,185621.624,189831.082,189643.562,192544.048,195938.834,192716.851,186796.826,189857.228,190996.487,194453.573,184880.169,195307.193,186179.09,195480.192,184702.092,194682.455,193625.454,187738.524,185749.095
IT0 0 ror,10506709.101,10506030.604,10506078.356,10505933.965,10506565.352,10506583.493,10506031.942,10506027.555,10506814.572,10505979.9,10505690.622,10506186.324,10505938.984,10505476.84,10506337.042,10506107.63,10505212.836,10505835.892,10505909.986,10506348.37,10450769.97,10447112.1,10464162.266,10462006.906,10449559.884,10457047.859,10503180.803,10485013.982,10472325.371,10503396.016,10506355.442,10460225.161,10461856.695,10463748.467,10450493.499,10447018.033,10455720.334,10469981.923,10487851.385,10502329.832,10469236.352,10466939.634,10452507.814,10454981.682,10458268.307,10455934.555,10465026.742,10465332.662,10502995.478,10469047.598,10457604.224,10448231.001,10457625.405,10499809.532,10445689.979,10503323.543,10442476.068,10502827.276,10441970.741,10500965.67,10479092.812,10467257.076,10447309.394
IT1 0 ror,38358.907,38250.766,38238.582,38291.707,38453.056,38420.607,38266.649,38258.341,38484.971,38255.469,38293.82,38286.473,38260.059,38164.062,38360.257,38309.326,38037.855,38307.734,38346.345,38288.629,35865.617,36076.732,36297.443,35878.053,35697.09,36105.234,37940.464,37092.351,36344.527,38214.922,38211.547,36276.872,36303.814,36030.889,35312.715,35223.132,35436.783,36412.846,36723.493,38086.387,36428.632,36391.698,35570.917,35868.447,36068.297,35671.046,35742.896,36593.878,38369.043,36474.171,36193.48,35570.888,35936.157,37674.697,35994.124,38024.482,36171.231,38227.1,35974.623,37812.255,36986.528,36281.364,36067.986
LT6 0 ror,169905.523,169813.085,169761.646,169812.008,169905.559,169887.059,169816.468,169813.226,169926.829,169805.351,169810.016,169832.822,169797.538,169732.648,169870.732,169824.286,169657.767,169823.826,169847.799,169839.755,167981.351,165891.614,166255.69,168054.257,167824.92,165725.912,169296.994,169090.347,168518.085,169796.375,169826.499,166352.424,166331.729,168205.4,167397.532,167201.884,167492.695,166696.105,167507.604,169377.669,166677.78,168528.571,167631.14,168020.044,165669.725,167758.391,167672.218,168635.119,169867.993,168595.169,166081.244,167669.007,168060.361,168935.639,165446.647,169373.844,165935.683,169520.082,165339.822,169105.64,168979.018,166334.621,165770.181
LU0 0 ror,54328.128,53417.721,53420.699,54829.51,54231.372,54163.455,54101.064,53810.913,53685.031,53423.912,53959.184,54808.837,54387.839,54798.467,53532.507,53451.67,53262.393,54133.551,54698.57,54139.547,54538.556,54434.91,54644.022,54530.857,54471.018,54483.064,56075.618,55080.252,54804.497,55532.669,54468.968,54620.416,54650.035,54626.441,54338.951,54259.85,54347.455,54745.179,55034.534,56171.402,54756.554,54750.296,54448.528,54550.807,54440.745,54448.403,54488.444,54820.38,55605.712,54865.448,54561.844,54414.294,54534.21,55845.608,54379.992,56135.672,54533.615,56299.377,54357.006,55955.814,55098.501,54630.932,54435.311
LV6 0 ror,960620.288,960510.663,960414.779,960463.63,960612.131,960592.288,960486.888,960479.293,960636.487,960507.752,960449.048,960509.527,960453.364,960351.345,960579.769,960510.435,960251.692,960475.131,960513.327,960524.796,956083.948,950427.253,952390.545,956283.435,955662.91,950350.127,959618.166,958804.821,957565.274,960276.346,960499.279,952272.098,952571.051,956864.927,954848.607,953922.056,955016.435,953340.779,956230.808,959529.979,953544.215,957389.523,955333.145,956343.139,949913.833,955412.707,954435.56,957474.101,960416.586,957534.335,951502.638,955299.171,956276.704,958824.629,948937.235,959742.266,950464.174,959847.341,948615.9,959031.049,958554.602,952316.714,950260.419
ME0 0 ror,352477.992,352249.715,352241.98,352249.238,352658.65,352587.551,352305.321,352276.978,352716.444,352273.709,352255.147,352309.898,352207.16,352045.612,352485.636,352333.498,351730.299,352275.348,352352.366,352332.711,350384.898,347923.666,349023.359,350273.525,350129.912,348069.123,352656.26,351801.322,351087.6,352885.677,352193.717,348945.315,349133.488,350572.59,349663.329,349472.656,349831.318,349531.571,350632.333,352683.001,349610.302,350931.715,349800.371,350334.959,347683.487,350024.248,349792.162,351104.835,353047.885,351078.774,348415.003,350042.4,350432.103,352207.461,347328.747,352715.836,348115.87,352853.543,347263.347,352319.045,351685.441,348919.185,347949.243
NO3 0 ror,570426.749,570406.74,570395.975,570402.974,570423.941,570422.035,570409.702,570398.848,570428.716,570406.514,570395.148,570410.499,570407.336,570395.116,570416.093,570406.277,570364.882,570403.649,570412.809,570410.762,569812.137,568683.592,569047.39,569867.094,569825.958,568718.238,570279.861,570179.927,570060.049,570399.752,570407.538,569044.746,569063.36,569945.407,569749.943,569537.73,569724.779,569217.658,569732.537,570266.035,569269.713,569971.119,569735.746,569850.305,568651.704,569781.497,569602.936,570004.339,570414.734,569952.546,568865.646,569729.354,569877.833,570154.461,568441.91,570291.098,568693.633,570304.383,568371.58,570179.299,570165.237,569059.832,568691.833
PL0 0 ror,334118.502,333925.365,333857.129,333917.414,334111.388,334079.258,333937.29,333920.449,334161.795,333903.401,333894.799,333970.192,333904.328,333785.64,334034.772,333933.244,333601.305,333928.825,333972.713,333992.603,329733.807,325465.405,326864.716,329847.212,329339.33,325415.58,333315.199,332387.391,331112.359,333916.462,333980.523,326908.742,327035.31,330264.387,328386.306,327765.742,328524.229,327816.588,329940.892,333343.601,327846.271,330996.82,328805.184,329826.098,325132.036,329098.188,328667.828,331171.139,334062.164,331186.637,326223.095,328990.444,329917.57,332680.588,324515.358,333416.505,325539.146,333564.824,324401.207,332862.682,332138.214,326946.547,325357.356
PT0 0 ror,2370528.084,2370168.972,2370137.885,2370152.258,2370472.663,2370483.63,2370153.619,2370126.411,2370608.733,2370109.668,2370009.222,2370265.355,2370115.858,2369899.933,2370379.58,2370174.095,2369514.961,2370048.298,2370156.093,2370327.636,2356783.502,2346581.617,2353373.544,2357499.564,2355024.791,2348774.201,2368977.517,2365295.303,2361324.404,2369737.39,2370290.101,2352331.508,2353521.49,2359214.087,2353375.382,2351635.996,2354804.897,2354669.269,2361985.836,2368686.694,2355976.515,2360546.592,2354490.362,2357112.586,2347785.673,2355383.349,2355737.697,2360598.232,2369972.652,2361463.581,2349915.133,2354494.969,2357394.369,2367420.479,2344160.151,2369140.218,2346356.396,2369174.767,2343409.43,2367683.825,2363763.047,2352960.473,2347073.349
RO0 0 ror,1317150.161,1316967.787,1316923.183,1316748.75,1317272.169,1317256.753,1316895.992,1316895.659,1317397.521,1316924.791,1316793.209,1316881.919,1316780.446,1316526.761,1317163.955,1316961.664,1316218.822,1316822.108,1316813.775,1317006.293,1312344.034,1311192.655,1312939.626,1312528.19,1311698.121,1311610.505,1317477.585,1315645.198,1314210.843,1317444.116,1316807.358,1312720.946,1313080.51,1313376.868,1310853.941,1309477.394,1311033.815,1313354.002,1315411.471,1317371.113,1313751.413,1313754.873,1311200.361,1312666.421,1310903.298,1311347.251,1310242.695,1313922.583,1317634.825,1314048.778,1312102.192,1311446.302,1312513.777,1316938.21,1310202.43,1317541.511,1311331.927,1317585.522,1309962.151,1317042.251,1315360.375,1312705.664,1311266.287
RS0 0 ror,2730790.457,2730450.797,2730414.682,2730448.271,2730991.161,2730882.957,2730528.591,2730392.287,2730988.792,2730447.493,2730291.026,2730586.004,2730395.366,2730144.927,2730869.226,2730552.86,2729591.558,2730268.263,2730598.966,2730584.645,2703553.857,2700146.932,2702606.865,2704028.62,2702303.163,2701059.098,2709150.183,2708908.048,2706528.694,2713167.356,2730384.016,2702317.846,2703112.863,2704177.677,2702724.433,2701790.108,2703174.292,2703324.717,2707033.684,2709062.003,2704224.468,2705056.549,2702877.378,2704038.152,2700786.169,2702428.103,2702280.165,2706180.254,2714553.451,2706001.662,2701557.5,2703050.696,2704121.532,2708807.98,2699550.499,2708936.077,2700779.54,2708717.177,2699544.044,2709088.088,2708282.406,2702569.663,2700572.888
SE3 0 ror,2756791.635,2756757.426,2756739.16,2756710.509,2756790.037,2756804.219,2756744.756,2756726.108,2756813.532,2756756.3,2756694.773,2756742.869,2756728.927,2756686.945,2756790.327,2756743.7,2756608.693,2756727.214,2756733.344,2756748.905,2749442.646,2742297.665,2745915.11,2750045.607,2748641.839,2743048.225,2755440.892,2753715.595,2751478.131,2755942.628,2756731.748,2745120.071,2746473.592,2750987.753,2747657.377,2746464.591,2748054.944,2746977.626,2751416.83,2755187.705,2747485.718,2751166.72,2748156.322,2750385.971,2741419.304,2748060.232,2748003.797,2751302.022,2756142.344,2751468.991,2744703.143,2748580.075,2749586.481,2754530.784,2740481.704,2755645.293,2742373.263,2755578.715,2740279.413,2754553.048,2753383.097,2745517.545,2742239.722
