,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
CZ0 0 X Store,0.005,0.006,0.005,0.006,0.006,0.007,0.004,0.005,0.006,0.006,0.005,0.002,0.003,0.065,0.018,0.007,0.005,0.005,0.004,0.006,0.006,0.006,0.004,0.004,0.003,0.004,0.077,0.11,0.043,0.011,0.009,0.007,0.008,0.008,0.006,0.01,0.011,0.006,0.004
DE0 0 X Store,0.018,0.02,0.016,0.015,0.016,0.026,0.013,0.018,0.015,0.014,0.014,0.003,0.004,0.079,0.023,0.009,0.007,0.006,0.005,0.007,0.007,0.007,0.004,0.005,0.004,0.004,0.125,0.168,0.068,0.016,0.013,0.012,0.012,0.013,0.007,0.013,0.011,0.006,0.005
DK0 0 X Store,0.112,0.159,0.068,0.062,0.056,18.743,0.105,0.136,0.05,0.1,0.052,0.004,0.007,0.183,0.056,0.021,0.018,0.016,0.012,0.017,0.017,0.021,0.011,0.013,0.011,0.012,0.136,0.178,0.064,0.016,0.014,0.01,0.012,0.013,0.008,0.012,0.013,0.013,0.005
DK3 0 X Store,0.007,0.008,0.007,0.007,0.007,0.008,0.006,0.01,0.009,0.007,0.008,0.004,0.006,16.585,7.182,15.742,26.889,19.972,0.011,0.015,0.012,0.019,0.009,0.009,0.007,0.006,0.296,0.667,0.12,2.248,0.086,0.01,0.01,0.013,0.012,0.01,0.008,0.006,0.004
EE6 0 X Store,0.008,0.008,0.007,0.007,0.008,0.008,0.006,0.007,0.007,0.007,0.007,0.003,0.003,1.403,0.054,0.02,8.515,0.021,0.006,0.008,0.009,0.009,0.005,0.006,0.004,0.005,0.203,0.241,0.092,0.029,0.037,0.011,0.013,0.017,0.017,0.013,0.013,0.008,0.005
ES0 0 X Store,0.012,0.013,0.011,0.012,0.013,0.011,0.009,0.011,0.012,0.012,0.031,0.003,0.004,0.105,0.035,0.012,0.009,0.008,0.007,0.011,0.01,0.008,0.011,0.006,0.003,0.004,0.153,0.116,0.087,0.011,0.012,0.006,0.011,0.008,0.004,0.007,0.009,0.006,0.003
ES2 0 X Store,0.486,1.101,1.133,0.272,1.202,0.337,1.119,2.415,0.629,2.608,2.186,0.003,0.005,0.134,0.042,0.014,0.012,0.01,0.01,0.024,0.012,0.015,0.013,0.009,0.003,0.004,0.201,0.195,0.112,0.027,0.013,0.011,0.016,0.012,0.007,0.017,0.028,0.052,0.017
FI3 0 X Store,0.005,0.005,0.005,0.005,0.005,0.006,0.004,0.004,0.004,0.005,0.005,0.002,0.002,0.536,0.043,0.016,0.059,0.013,0.005,0.007,0.007,0.008,0.004,0.005,0.003,0.004,0.546,0.869,0.413,2.823,3.285,0.027,0.04,0.045,0.023,0.021,0.022,0.01,0.006
FR0 0 X Store,0.014,0.015,0.013,0.012,0.016,0.017,0.014,0.013,0.014,0.013,0.013,0.003,0.003,0.1,0.032,0.011,0.009,0.008,0.006,0.009,0.009,0.009,0.005,0.006,0.003,0.004,0.112,0.15,0.057,0.014,0.012,0.01,0.011,0.011,0.007,0.011,0.012,0.006,0.004
GB4 0 X Store,11.803,13.779,11.471,11.345,11.097,11.472,7.804,10.285,6.568,8.151,5.737,0.006,0.016,5.285,9.735,8.13,1.785,10.846,0.062,1.225,0.084,0.029,0.051,0.018,0.013,0.058,2.246,3.899,6.61,10.616,3.665,6.839,8.15,0.131,5.258,0.353,0.089,2.276,0.04
GB5 0 X Store,250.406,247.676,230.203,208.723,228.11,274.579,147.345,315.108,47.833,33.104,14.233,0.005,0.009,1.255,0.346,0.116,0.108,0.061,0.029,0.046,0.036,0.044,0.03,0.032,0.049,0.015,14.651,25.658,12.189,0.181,27.817,0.037,0.029,0.041,37.171,0.041,0.019,0.018,0.013
GR0 0 X Store,0.006,0.007,0.006,0.006,0.006,0.006,0.004,0.005,0.005,0.004,0.004,0.003,0.003,0.074,0.024,0.007,0.008,0.005,0.004,0.006,0.006,0.007,0.003,0.004,0.003,0.003,0.069,0.099,0.038,0.01,0.007,0.004,0.008,0.007,0.004,0.006,0.006,0.004,0.003
HR0 0 X Store,0.004,0.004,0.004,0.004,0.004,0.004,0.002,0.004,0.004,0.003,0.003,0.002,0.002,0.061,0.017,0.006,0.005,0.004,0.003,0.005,0.005,0.005,0.003,0.003,0.003,0.003,0.06,0.09,0.034,0.009,0.007,0.004,0.006,0.007,0.003,0.005,0.006,0.004,0.003
HU0 0 X Store,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.004,0.004,0.004,0.004,0.002,0.003,0.06,0.017,0.006,0.005,0.004,0.003,0.005,0.005,0.005,0.003,0.003,0.003,0.003,0.06,0.091,0.034,0.009,0.007,0.005,0.007,0.007,0.003,0.006,0.007,0.005,0.003
IE4 0 X Store,0.07,0.164,0.044,0.05,0.042,0.137,0.042,0.065,0.039,0.056,0.033,0.004,0.006,11.346,10.627,9.738,18.249,10.409,1.158,3.339,4.005,0.081,4.543,2.251,0.12,0.032,34.635,34.509,36.377,19.089,36.825,51.146,39.881,44.109,58.554,40.689,37.112,22.146,0.1
IT0 0 X Store,0.006,0.007,0.007,0.006,0.007,0.01,0.007,0.006,0.008,0.009,0.009,0.003,0.003,0.073,0.022,0.007,0.006,0.006,0.005,0.007,0.006,0.007,0.004,0.006,0.003,0.003,0.07,0.103,0.04,0.01,0.008,0.006,0.007,0.007,0.004,0.008,0.009,0.006,0.004
IT1 0 X Store,0.011,0.012,0.013,0.011,0.019,0.02,0.024,0.011,0.018,0.013,0.021,0.003,0.003,0.077,0.023,0.008,0.007,0.006,0.005,0.006,0.007,0.007,0.004,0.004,0.003,0.003,0.073,0.103,0.041,0.01,0.008,0.005,0.007,0.007,0.004,0.01,0.006,0.012,0.003
LT6 0 X Store,0.007,0.007,0.006,0.006,0.007,0.008,0.006,0.006,0.006,0.006,0.006,0.003,0.003,0.295,0.036,0.013,0.047,0.011,0.005,0.007,0.007,0.007,0.004,0.005,0.003,0.004,0.139,0.175,0.068,0.021,0.022,0.01,0.011,0.013,0.01,0.01,0.011,0.006,0.004
LU0 0 X Store,25.594,24.222,17.18,18.328,24.056,26.788,22.29,19.792,0.053,0.039,0.017,0.003,0.004,0.092,0.027,0.01,0.008,0.007,0.006,0.007,0.008,0.008,0.005,0.006,0.005,0.005,0.136,0.182,0.078,0.017,0.014,0.015,0.014,0.015,0.011,0.016,0.017,0.008,0.005
LV6 0 X Store,0.007,0.007,0.006,0.006,0.007,0.008,0.006,0.006,0.006,0.006,0.006,0.003,0.003,0.296,0.036,0.013,0.047,0.011,0.005,0.007,0.007,0.007,0.004,0.005,0.003,0.004,0.161,0.201,0.08,0.022,0.025,0.011,0.012,0.015,0.012,0.011,0.012,0.006,0.004
ME0 0 X Store,0.004,0.004,0.004,0.004,0.004,0.005,0.003,0.003,0.004,0.003,0.003,0.002,0.002,0.063,0.018,0.006,0.005,0.004,0.004,0.005,0.005,0.005,0.003,0.003,0.003,0.003,0.061,0.093,0.035,0.009,0.007,0.004,0.007,0.007,0.004,0.006,0.006,0.005,0.003
MK0 0 X Store,0.004,0.005,0.004,0.004,0.004,0.004,0.003,0.004,0.004,0.003,0.003,0.002,0.002,0.065,0.019,0.007,0.006,0.005,0.004,0.005,0.006,0.006,0.003,0.004,0.003,0.003,0.066,0.094,0.037,0.01,0.007,0.004,0.007,0.007,0.004,0.006,0.006,0.004,0.003
NL0 0 X Store,0.023,0.026,0.02,0.02,0.022,0.035,0.019,0.026,0.019,0.022,0.019,0.004,0.006,0.185,0.058,0.021,0.017,0.016,0.011,0.015,0.015,0.016,0.009,0.011,0.009,0.008,0.325,0.412,0.215,0.039,0.029,0.022,0.025,0.039,0.04,0.022,0.023,0.011,0.007
NO3 0 X Store,0.003,0.004,0.004,0.004,0.004,0.004,0.002,0.003,0.003,0.003,0.003,0.002,0.001,0.06,0.016,0.006,0.005,0.004,0.003,0.004,0.005,0.004,0.002,0.003,0.002,0.003,0.056,0.087,0.032,0.009,0.006,0.004,0.006,0.006,0.003,0.005,0.005,0.003,0.003
PL0 0 X Store,0.009,0.011,0.009,0.008,0.009,0.011,0.007,0.009,0.009,0.008,0.007,0.003,0.003,0.605,0.045,0.016,0.194,0.017,0.005,0.007,0.008,0.008,0.004,0.005,0.004,0.004,0.198,0.249,0.112,0.027,0.029,0.015,0.015,0.02,0.024,0.016,0.017,0.007,0.006
PT0 0 X Store,0.012,0.013,0.01,0.011,0.013,0.01,0.009,0.011,0.011,0.012,0.029,0.003,0.004,0.096,0.031,0.01,0.009,0.008,0.007,0.01,0.01,0.007,0.008,0.005,0.003,0.004,0.141,0.11,0.079,0.011,0.011,0.005,0.01,0.007,0.004,0.007,0.008,0.006,0.003
RO0 0 X Store,0.004,0.005,0.004,0.004,0.004,0.005,0.003,0.004,0.004,0.003,0.003,0.002,0.003,0.063,0.018,0.006,0.005,0.004,0.004,0.005,0.005,0.005,0.003,0.003,0.003,0.003,0.063,0.095,0.035,0.009,0.007,0.004,0.007,0.007,0.003,0.006,0.006,0.004,0.003
RS0 0 X Store,0.004,0.004,0.004,0.004,0.004,0.004,0.002,0.004,0.004,0.003,0.003,0.002,0.002,0.063,0.018,0.006,0.006,0.004,0.004,0.006,0.005,0.005,0.003,0.003,0.003,0.003,0.062,0.093,0.036,0.009,0.007,0.004,0.008,0.007,0.004,0.006,0.006,0.004,0.003
SE3 0 X Store,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.004,0.005,0.004,0.004,0.002,0.003,0.282,0.033,0.012,0.042,0.01,0.005,0.007,0.006,0.008,0.004,0.005,0.003,0.003,0.109,0.145,0.056,0.018,0.016,0.006,0.007,0.008,0.007,0.006,0.006,0.005,0.003
SI0 0 X Store,0.004,0.005,0.004,0.004,0.004,0.005,0.003,0.004,0.004,0.004,0.004,0.002,0.002,0.062,0.017,0.006,0.005,0.004,0.003,0.005,0.005,0.005,0.003,0.003,0.003,0.003,0.06,0.091,0.034,0.009,0.007,0.004,0.006,0.007,0.004,0.006,0.006,0.004,0.003
SK0 0 X Store,0.005,0.005,0.005,0.005,0.005,0.006,0.004,0.004,0.005,0.005,0.005,0.002,0.003,0.062,0.018,0.006,0.005,0.005,0.004,0.005,0.005,0.005,0.003,0.004,0.003,0.003,0.068,0.101,0.042,0.01,0.008,0.006,0.008,0.008,0.007,0.007,0.008,0.005,0.004
