,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
DE0 0 X Store,0.013,301.179,138.225,478.365,0.042,0.009,0.021,229.133,0.092,0.005,380.96,0.25,178.531,0.543,0.009,323.654,0.041,0.043,0.015,0.093,0.007,0.11,0.073,10.837,0.283,0.112,0.016,0.061,0.009,0.008,0.147,0.121,0.153,0.066,0.19,98.516
DK0 0 X Store,0.052,115.245,100.684,113.248,47.701,0.013,15.05,100.955,73.521,0.006,128.398,0.178,49.104,0.049,0.009,107.141,0.023,0.057,0.011,1.428,0.008,149.321,0.388,102.825,185.316,28.177,0.015,0.025,0.014,0.025,117.286,62.533,160.536,0.164,0.165,0.174
DK3 0 X Store,0.005,0.076,0.014,6.098,0.01,0.006,0.007,0.024,0.01,0.004,2.201,0.574,29.384,12.009,0.011,34.168,0.243,0.151,0.039,31.359,0.011,49.401,21.067,0.01,62.517,40.286,0.023,5.151,4.196,17.471,46.332,42.288,51.033,14.111,0.334,21.142
EE6 0 X Store,0.005,0.033,0.017,4.03,0.01,0.006,0.007,0.023,0.012,0.004,1.236,0.492,38.291,17.99,0.009,41.575,0.277,0.094,0.027,0.837,0.009,21.549,0.352,0.011,26.396,3.449,0.02,10.518,0.024,0.026,13.913,9.297,22.301,0.165,0.279,28.157
ES0 0 X Store,0.009,88.995,39.222,122.713,0.031,0.007,0.014,60.27,0.236,0.005,108.151,0.287,140.922,79.975,0.011,179.277,0.05,0.044,0.019,0.376,0.01,97.053,0.163,19.53,176.677,2.469,0.019,7.887,0.009,0.012,67.065,28.366,155.438,0.089,0.237,122.544
ES2 0 X Store,1.141,4.317,4.35,4.442,2.867,0.012,1.89,4.082,4.308,0.005,4.31,0.448,11.571,4.534,0.011,13.614,0.528,0.046,0.032,1.191,0.01,5.526,0.267,4.704,7.563,3.052,0.023,2.024,0.01,0.017,4.728,3.716,6.164,0.109,0.309,6.483
FI3 0 X Store,0.004,0.008,0.006,0.025,0.005,0.005,0.004,0.006,0.006,0.004,0.01,38.457,89.85,61.83,0.012,126.614,46.338,0.087,18.083,0.23,0.015,0.9,0.149,0.004,20.032,0.283,0.072,54.029,0.022,0.015,0.621,0.403,5.697,0.127,2.749,82.02
FR0 0 X Store,0.01,88.945,9.611,143.313,0.025,0.009,0.015,10.379,0.037,0.005,103.844,0.179,191.731,0.077,0.008,334.562,0.026,0.046,0.011,0.17,0.007,0.97,0.116,0.067,125.255,0.239,0.014,0.032,0.01,0.011,0.51,0.325,32.159,0.085,0.151,17.067
GB4 0 X Store,11.481,28.969,27.378,34.209,17.54,3.107,14.325,29.992,22.236,0.011,29.635,18.137,96.995,48.691,0.034,130.901,24.716,0.105,15.018,26.103,0.204,49.285,17.114,24.623,68.501,32.705,6.137,32.871,0.081,14.368,43.469,37.078,58.863,8.0,11.691,78.114
GB5 0 X Store,230.289,886.875,670.584,1037.845,482.848,0.029,375.521,771.184,567.782,0.008,969.207,208.244,1757.456,891.785,0.02,2368.658,412.804,0.079,114.502,681.291,0.052,1368.514,401.052,659.102,1934.405,872.699,12.19,538.108,0.025,62.447,1128.953,1044.91,1625.391,0.951,53.694,989.69
GR0 0 X Store,0.005,12.363,6.327,18.884,0.01,0.005,0.006,10.238,0.016,0.004,14.531,0.085,10.726,0.019,0.007,20.715,0.011,0.041,0.005,0.101,0.005,3.941,0.071,0.062,16.801,0.136,0.009,0.011,0.008,0.007,0.653,0.203,11.341,0.058,0.097,0.288
