,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
offwind_gen [MWh],894899608.5,893793442.2,895420509.3,868834657.2,1906011316.2,1895597550.3,1147955512.5,891824290.2,1885371938.7,1143278573.1,899442540.0,895403416.5,1096480736.1,831974602.8,896184801.6,1145090641.5,1146087361.2,895190988.3,892446774.3,1894939617.6,1145393238.0,1911826543.8,1132535431.2,1850987451.9,1912398435.3,1144803544.8,1904436425.1,893586067.8,795896356.8,1144924314.6,898796862.9,895242040.5,1900613947.2,1896258573.3,1115450373.3,1908243928.8,1150016510.7,1143611252.7,1884332131.8,1145653342.5,1147159339.8,1904731537.8,1895347201.8,1145493717.3,1908230127.6
solar_gen [MWh],808080997.8,810135708.9,798399776.7,841831705.2,2688212661.6,2689508649.6,1511709031.2,813314601.9,2770339604.4,1522590570.9,797969255.1,803142811.2,1594716264.3,876846515.4,797990114.7,1521999385.8,1521705342.3,800446376.4,813202632.3,2690876183.7,1519745620.8,2690077151.4,1549031805.6,2776402760.7,2690606394.3,1521825419.1,2687423017.2,807586148.1,892722078.9,1515371822.7,797609455.8,805526554.8,2689348193.1,2689402129.5,1582175167.8,2688532458.0,1520463466.5,1521898624.8,2781807330.0,1520932508.1,1521267920.1,2688513042.6,2689384669.2,1515275402.7,2711004179.1
hydro_gen [MWh],511994893.2,512009247.9,511981756.5,512326803.9,512841525.0,512859738.9,511967990.7,512046183.9,512864111.4,512260717.2,512003670.6,512009347.5,512874979.2,512366711.4,512017078.2,512036711.4,511991463.9,511991896.8,512031191.7,512898446.1,511759803.0,512864684.7,512273153.7,512893480.2,512830561.5,511779364.2,512196553.5,511797573.3,512584276.2,512117082.9,512030106.9,511972675.2,512868122.1,512901083.1,512369960.1,512844152.4,512369409.0,512169804.3,512942645.7,511658254.8,511739663.7,512889708.9,512877414.9,512767784.7,512883962.7
tot_gen [MWh],2806.03,2800.633,2818.244,2834.529,8010.15,8007.735,4743.294,2791.923,8037.859,4735.249,2828.377,2812.002,4656.506,2818.756,2822.248,4731.281,4729.886,2815.638,2792.376,8008.53,4740.703,8009.742,4746.19,7878.78,8008.814,4738.301,8009.564,2833.781,2786.677,4740.539,2826.64,2809.41,8009.529,8008.293,4711.243,8010.433,4748.414,4732.632,7976.069,4739.85,4731.003,8009.964,8007.784,4743.519,8017.326
cap_onwind [GW],160.201,160.149,163.944,155.085,1002.283,1000.721,459.026,159.682,1015.85,454.312,162.853,162.219,406.353,144.741,163.912,454.088,453.641,163.285,159.5,1001.264,455.184,1006.921,449.09,937.425,1008.587,454.239,1000.466,161.512,136.604,458.16,163.226,161.21,1001.005,1000.554,427.026,1004.882,453.861,454.719,972.236,454.494,453.67,1001.181,1000.602,457.796,1017.525
cap_offwind [GW],221.625,221.644,220.313,206.944,452.562,451.388,277.792,221.603,443.558,277.675,219.113,221.102,260.137,195.45,219.514,277.953,278.158,220.676,221.728,450.931,277.73,453.664,270.79,429.62,454.136,277.671,451.462,215.97,184.726,277.776,219.315,221.383,451.936,451.508,265.419,452.667,277.534,277.735,440.386,277.669,278.164,452.494,451.434,278.038,452.878
cap_solar [GW],761.428,763.617,751.531,778.225,2446.771,2450.144,1410.271,766.685,2487.243,1422.471,747.483,756.202,1455.942,803.248,750.311,1422.655,1422.597,753.74,766.666,2451.763,1420.479,2445.043,1426.538,2481.689,2444.599,1422.545,2450.511,753.172,811.208,1414.351,748.182,758.81,2449.673,2450.078,1450.153,2445.131,1409.115,1422.036,2491.635,1422.118,1422.579,2448.127,2450.139,1410.124,2451.158
cap_hydro [GW],142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191
cap_gas_OCGT [GW],59.914,61.684,52.759,43.537,25.834,42.435,23.849,63.44,4.124,39.103,46.922,56.563,7.492,46.174,50.371,42.21,42.702,54.625,63.397,37.013,34.337,15.145,6.186,1.52,12.774,37.348,43.713,43.267,49.093,28.886,47.553,58.334,32.896,40.47,7.8,19.363,11.199,41.394,2.012,36.029,42.583,29.053,43.654,20.854,7.221
cap_gas_CCGT [GW],45.03,45.019,44.598,39.767,0.27,0.277,6.338,45.122,0.261,5.727,43.751,44.833,1.435,37.241,44.264,5.649,5.58,44.663,45.088,0.277,5.872,0.231,8.131,0.37,0.234,5.762,0.287,42.279,34.836,5.965,44.059,44.944,0.279,0.277,4.202,0.265,7.213,5.67,0.316,5.809,5.59,0.29,0.278,6.427,0.251
cap_coal [GW],0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cap_nuclear [GW],0.0,0.0,0.0,0.0,6.509,7.151,0.009,0.0,2.327,0.008,0.0,0.0,0.0,0.0,0.0,0.012,0.011,0.0,0.0,7.131,0.007,4.942,0.002,1.998,4.471,0.008,7.165,0.001,0.0,0.009,0.0,0.0,6.972,7.17,0.001,5.824,0.006,0.014,2.173,0.004,0.007,6.767,7.164,0.001,2.394
sector,,,,,T-H-I-B,T-H-I-B,T-H,,T-H-I-B,T-H,,,T-H,,,T-H,T-H,,,T-H-I-B,T-H,T-H-I-B,T-H,T-H-I-B,T-H-I-B,T-H,T-H-I-B,,,T-H,,,T-H-I-B,T-H-I-B,T-H,T-H-I-B,T-H,T-H,T-H-I-B,T-H,T-H,T-H-I-B,T-H-I-B,T-H,T-H-I-B
AL0 0 X Store,0.004,0.005,0.007,7.003,0.011,0.008,3.992,0.004,46.936,0.05,0.013,0.005,30.453,5.232,0.008,0.053,0.062,0.006,0.004,0.01,0.104,0.035,25.867,50.127,0.059,0.071,0.044,1.949,6.19,0.175,0.01,0.005,0.009,0.009,28.886,0.017,18.928,0.065,50.248,0.081,0.048,0.012,0.009,11.129,33.011
AT0 0 X Store,0.011,0.01,0.026,0.035,0.026,0.01,0.197,0.005,340.695,0.064,0.024,0.018,403.537,0.035,0.026,0.068,0.063,0.02,0.007,0.018,0.101,0.17,0.847,646.663,0.317,0.087,0.045,0.153,0.048,0.125,0.022,0.014,0.02,0.014,158.156,0.06,0.258,0.084,556.206,0.092,0.054,0.027,0.011,0.024,169.658
BA0 0 X Store,0.004,0.004,0.005,0.008,0.008,0.007,0.088,0.003,0.325,0.041,0.005,0.005,3.376,0.011,0.005,0.049,0.06,0.005,0.004,0.009,0.056,0.013,0.114,50.749,0.015,0.054,0.043,0.033,0.016,0.062,0.004,0.005,0.007,0.008,0.134,0.011,0.085,0.056,29.361,0.052,0.046,0.01,0.009,0.01,0.055
BE0 0 X Store,0.016,0.014,0.051,0.065,0.184,0.015,0.552,0.006,204.665,0.103,0.055,0.033,85.555,0.087,0.063,0.091,0.071,0.041,0.009,0.034,0.231,104.131,34.413,239.027,135.634,0.161,0.049,0.353,0.104,0.304,0.049,0.023,0.047,0.023,35.075,28.775,1.674,0.12,227.41,0.203,0.069,0.078,0.014,0.074,196.263
BG0 0 X Store,0.004,0.005,0.006,0.153,0.012,0.008,0.807,0.004,244.28,0.051,0.008,0.005,137.319,24.851,0.007,0.053,0.061,0.005,0.004,0.01,0.103,0.11,81.882,300.998,9.472,0.072,0.044,0.13,60.418,0.176,0.007,0.005,0.009,0.009,111.127,0.025,47.334,0.065,273.689,0.084,0.048,0.013,0.009,1.621,130.562
CH0 0 X Store,0.014,0.012,0.098,282.087,0.012,0.009,0.229,0.005,255.394,0.062,77.728,0.028,502.249,398.47,13.172,0.067,0.065,0.045,0.008,0.013,0.105,0.022,142.696,437.784,0.027,0.086,0.045,142.333,499.07,0.134,70.188,0.019,0.011,0.011,368.923,0.018,0.551,0.081,302.442,0.093,0.056,0.015,0.01,0.028,0.063
CZ0 0 X Store,0.006,0.006,0.008,0.014,0.021,0.009,0.119,0.004,88.096,0.052,0.008,0.007,0.231,0.017,0.008,0.056,0.059,0.007,0.005,0.014,0.074,0.065,0.202,165.659,0.083,0.07,0.044,0.056,0.025,0.084,0.007,0.006,0.015,0.012,0.247,0.039,0.131,0.068,99.844,0.07,0.047,0.021,0.01,0.013,59.352
DE0 0 X Store,0.023,0.018,0.495,124.948,0.107,0.013,0.167,0.006,1065.316,0.063,146.045,0.058,0.053,142.427,88.75,0.068,0.063,0.108,0.011,0.029,0.091,311.887,0.221,1374.055,398.473,0.082,0.047,198.69,283.129,0.111,126.01,0.036,0.039,0.021,0.18,125.188,0.183,0.082,1140.228,0.085,0.055,0.063,0.013,0.018,778.817
